motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
OFF,10000,3,32,8,8,1000,1000,1000
index,ax,ay,az,gx,gy,gz,mx,my,mz
0,0.2236328,-1.422852,-0.3666992,101.9897,-9.216309,-154.3579,0,0,0
1,0.2670898,-1.155273,-0.6142578,98.51074,-32.77588,-134.3994,0,0,0
2,0.2373047,-1.066895,-0.6855469,92.7124,-30.09033,-128.9062,0,0,0
3,0.1865234,-0.9902344,-0.7290039,85.57129,-26.48926,-122.7417,0,0,0
4,0.1791992,-0.9189453,-0.7880859,77.51465,-23.68164,-115.6006,0,0,0
5,0.1611328,-0.8164062,-0.7641602,68.78662,-21.3623,-107.7881,0,0,0
6,0.1489258,-0.7138672,-0.7421875,59.81445,-19.83643,-99.73145,0,0,0
7,0.1235352,-0.6303711,-0.7539062,50.72021,-17.02881,-91.36963,0,0,0
8,0.07714844,-0.5512695,-0.7475586,41.68701,-10.62012,-82.15332,0,0,0
9,-0.008789062,-0.5151367,-0.7207031,33.02002,1.464844,-71.47217,0,0,0
10,-0.08007812,-0.4931641,-0.7084961,24.6582,19.34814,-58.89893,0,0,0
11,-0.09033203,-0.4443359,-0.6650391,16.41846,36.92627,-44.73877,0,0,0
12,-0.1245117,-0.4194336,-0.6679688,7.995605,48.21777,-29.60205,0,0,0
13,-0.159668,-0.425293,-0.7167969,-1.403809,54.50439,-13.48877,0,0,0
14,-0.1582031,-0.4086914,-0.6547852,-12.02393,52.12402,3.051758,0,0,0
15,-0.2612305,-0.4360352,-0.7524414,-22.76611,41.1377,19.83643,0,0,0
16,-0.390625,-0.5566406,-0.7490234,-34.24072,29.72412,37.53662,0,0,0
17,-0.5478516,-0.6538086,-0.9257812,-46.99707,19.83643,57.67822,0,0,0
18,-0.9541016,-0.7866211,-1.134277,-61.95068,13.30566,81.23779,0,0,0
19,-2.302246,-1.000977,-1.442383,-86.66992,15.31982,113.5254,0,0,0
20,-4.321777,-1.508301,-2.044922,-133.4839,68.29834,172.1191,0,0,0
21,-5.442383,-1.200684,-1.01123,-201.416,143.0664,287.2314,0,0,0
22,-4.013672,-4.306152,4.438477,-230.957,-133.728,474.7925,0,0,0
23,-1.217285,-5.097656,3.012207,-154.3579,-274.4751,680.603,0,0,0
24,-0.2021484,-6.950684,-1.657715,-56.64062,-192.3218,799.9268,0,0,0
25,1.982422,-6.166016,-0.5844727,-33.3252,-157.1655,817.688,0,0,0
