motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
OFF,10000,3,8,8,32,1000,1000,1000
index,ax,ay,az,gx,gy,gz,mx,my,mz
0,-0.7661133,-1.308105,-0.1313477,17.21191,-9.70459,40.58838,0,0,0
1,-0.6928711,-1.123535,-0.1074219,11.53564,-9.765625,20.01953,0,0,0
2,-0.7011719,-0.9277344,-0.1748047,6.469727,-16.96777,-0.06103516,0,0,0
3,-0.6821289,-0.7602539,-0.2734375,1.831055,-8.789062,-17.45605,0,0,0
4,-0.675293,-0.5473633,-0.3442383,-2.807617,7.568359,-32.10449,0,0,0
5,-0.5541992,-0.402832,-0.3271484,-7.507324,21.1792,-46.02051,0,0,0
6,-0.5961914,-0.4033203,-0.2851562,-12.08496,20.32471,-60.91309,0,0,0
7,-0.5883789,-0.3999023,-0.230957,-16.54053,12.81738,-76.59912,0,0,0
8,-0.6269531,-0.4404297,-0.1445312,-20.44678,10.31494,-92.46826,0,0,0
9,-0.6303711,-0.5073242,-0.2929688,-24.59717,16.17432,-107.7881,0,0,0
10,-0.6040039,-0.5410156,-0.1318359,-28.13721,20.93506,-122.9248,0,0,0
11,-0.5830078,-0.6430664,-0.1069336,-31.00586,17.76123,-138.2446,0,0,0
12,-0.5869141,-0.8134766,-0.09765625,-33.3252,12.26807,-153.8696,0,0,0
13,-0.6118164,-0.9370117,-0.1669922,-35.52246,5.493164,-170.105,0,0,0
14,-0.5561523,-1.011719,-0.1152344,-38.0249,4.150391,-185.791,0,0,0
15,-0.5219727,-1.231934,-0.2939453,-40.46631,9.399414,-201.1108,0,0,0
16,-0.5952148,-1.398438,-0.3061523,-43.33496,13.67188,-215.1489,0,0,0
17,-0.4897461,-1.503906,-0.3369141,-46.38672,13.24463,-226.5625,0,0,0
18,-0.3540039,-1.611328,-0.3427734,-49.80469,11.59668,-236.7554,0,0,0
19,-0.3637695,-1.70752,-0.3964844,-53.10059,15.38086,-246.6431,0,0,0
20,-0.3476562,-1.770508,-0.3759766,-55.7251,17.82227,-255.6152,0,0,0
21,-0.1586914,-1.824707,-0.3813477,-56.88477,16.60156,-262.4512,0,0,0
22,-0.08642578,-1.814941,-0.3862305,-57.25098,10.25391,-268.1885,0,0,0
23,-0.07226562,-1.787109,-0.4018555,-57.43408,4.150391,-273.1934,0,0,0
24,-0.08789062,-1.793945,-0.434082,-57.55615,0.6713867,-276.3672,0,0,0
25,-0.1547852,-1.78418,-0.409668,-57.18994,-0.3051758,-276.8555,0,0,0
26,-0.144043,-1.740723,-0.3232422,-55.35889,-0.1220703,-274.1089,0,0,0
27,-0.2080078,-1.621094,-0.2202148,-51.51367,-1.953125,-268.7988,0,0,0
