motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
STRONG,10000,3,8,8,32,1000,1000,1000
index,ax,ay,az,gx,gy,gz,mx,my,mz
0,-0.4262695,-0.7495117,0.4472656,-11.16943,-40.64941,52.30713,0,0,0
1,-1.029297,-1.231445,-0.3510742,-5.79834,-74.09668,27.03857,0,0,0
2,-1.133301,-1.349121,-0.2963867,-13.42773,-38.26904,24.6582,0,0,0
3,-1.042969,-1.195312,0.02832031,-21.54541,28.38135,23.55957,0,0,0
4,-0.9443359,-0.9331055,0.2841797,-23.4375,37.78076,16.47949,0,0,0
5,-0.7319336,-0.6855469,0.5395508,-22.46094,35.15625,3.78418,0,0,0
6,-0.5854492,-0.4960938,0.5805664,-17.39502,27.34375,-12.93945,0,0,0
7,-0.5229492,-0.3950195,0.5429688,-11.1084,0.06103516,-31.18896,0,0,0
8,-0.5566406,-0.3852539,0.2949219,-4.943848,-29.84619,-50.10986,0,0,0
9,-0.5800781,-0.4960938,0.3422852,-0.2441406,-56.03027,-69.64111,0,0,0
10,-0.5786133,-0.5878906,0.3530273,3.173828,-79.46777,-89.72168,0,0,0
11,-0.5644531,-0.6157227,0.3925781,5.126953,-86.91406,-109.7412,0,0,0
12,-0.5512695,-0.6674805,0.4067383,6.103516,-77.81982,-129.7607,0,0,0
13,-0.5620117,-0.71875,0.4375,6.958008,-72.63184,-150.0244,0,0,0
14,-0.4868164,-0.7880859,0.4921875,6.713867,-83.25195,-169.9829,0,0,0
15,-0.4941406,-0.8354492,0.5512695,5.004883,-93.93311,-188.7817,0,0,0
16,-0.3764648,-0.9560547,0.5986328,2.075195,-94.9707,-205.0781,0,0,0
17,-0.4233398,-1.054199,0.5141602,-1.525879,-90.02686,-217.7734,0,0,0
18,-0.3476562,-1.146484,0.628418,-5.187988,-78.85742,-227.417,0,0,0
19,-0.3232422,-1.172852,0.7338867,-6.958008,-72.87598,-234.6802,0,0,0
20,-0.2495117,-1.236816,0.7719727,-6.530762,-75.68359,-239.0747,0,0,0
21,-0.1665039,-1.213867,0.6967773,-5.187988,-84.28955,-241.0278,0,0,0
22,-0.1542969,-1.231934,0.6743164,-4.577637,-92.04102,-241.1499,0,0,0
23,-0.05761719,-1.170898,0.6381836,-5.67627,-98.69385,-239.563,0,0,0
24,-0.01806641,-1.195801,0.6337891,-8.728027,-107.4829,-236.7554,0,0,0
25,0.06884766,-1.180664,0.7207031,-13.48877,-115.9058,-232.7271,0,0,0
26,0.1679688,-1.099609,0.7138672,-18.9209,-122.6196,-228.2715,0,0,0
27,0.2919922,-0.972168,0.5214844,-40.89355,-153.5034,-215.332,0,0,0
28,0.4169922,-0.949707,0.5185547,-48.82812,-167.4805,-207.5806,0,0,0
29,0.4594727,-0.9208984,0.5649414,-57.12891,-176.7578,-197.7539,0,0,0
30,0.4560547,-0.7680664,0.3237305,-72.26562,-189.7583,-152.5269,0,0,0
31,0.5029297,-0.6484375,0.262207,-73.97461,-171.5088,-134.7046,0,0,0
32,0.4921875,-0.5942383,0.1699219,-72.99805,-137.8174,-117.1265,0,0,0
33,0.4414062,-0.5522461,0.1987305,-68.66455,-93.99414,-99.60938,0,0,0
34,0.4262695,-0.5205078,0.1772461,-60.91309,-52.67334,-81.78711,0,0,0
35,0.4418945,-0.4702148,0.1625977,-51.02539,-24.78027,-63.7207,0,0,0
36,0.4521484,-0.4018555,0.1523438,-39.91699,-8.300781,-47.05811,0,0,0
37,0.4799805,-0.3710938,0.175293,-28.44238,-5.065918,-31.92139,0,0,0
38,0.5136719,-0.390625,0.2167969,-17.02881,-7.751465,-18.37158,0,0,0
39,0.5268555,-0.4023438,0.2407227,-6.164551,-4.211426,-6.408691,0,0,0
40,0.5175781,-0.402832,0.2519531,4.02832,10.86426,4.272461,0,0,0
41,0.4711914,-0.3686523,0.2250977,13.18359,31.79932,14.70947,0,0,0
42,0.4267578,-0.3774414,0.2651367,21.24023,51.51367,26.12305,0,0,0
43,0.3588867,-0.4052734,0.2944336,28.32031,65.18555,39.67285,0,0,0
44,0.2001953,-0.4169922,0.487793,35.09521,75.07324,56.15234,0,0,0
45,-0.1264648,-0.4038086,0.7949219,43.27393,82.51953,76.96533,0,0,0
46,-0.7426758,-0.4550781,1.261719,55.7251,75.8667,106.0791,0,0,0
47,-1.536133,-0.4428711,1.708984,76.66016,41.01562,149.292,0,0,0
48,-1.810059,0.2416992,0.7387695,112.2437,36.8042,212.1582,0,0,0
49,-1.976562,-0.1230469,0.01171875,147.7051,194.9463,302.9785,0,0,0
50,-2.645508,-2.640137,-0.2558594,140.625,479.187,432.0068,0,0,0
51,-0.2270508,-4.120117,1.704102,-10.92529,550.0488,672.2412,0,0,0
52,0.2006836,-3.57959,2.310059,-70.86182,404.3579,711.6089,0,0,0
53,0.5961914,-3.134277,1.406738,-75.74463,212.8296,682.9834,0,0,0
54,0.237793,-2.629395,1.577637,-46.14258,167.9688,571.5332,0,0,0
55,0.3271484,-1.307129,1.762695,-25.57373,155.5786,411.499,0,0,0
56,-0.04052734,-0.7539062,1.125488,1.159668,81.48193,264.8926,0,0,0
57,-0.2988281,-0.5229492,0.6582031,11.96289,47.42432,152.1606,0,0,0
58,-0.7094727,-0.6967773,0.265625,13.24463,-30.57861,80.2002,0,0,0
59,-0.8735352,-0.8945312,0.08251953,6.713867,-74.58496,47.72949,0,0,0
60,-0.9414062,-1.057617,0.04052734,-5.004883,-23.49854,36.62109,0,0,0
61,-0.8632812,-1.033691,0.2490234,-14.46533,21.85059,29.96826,0,0,0
62,-0.7880859,-0.9018555,0.2807617,-17.39502,31.49414,20.08057,0,0,0
63,-0.7426758,-0.7763672,0.3095703,-15.68604,14.4043,6.408691,0,0,0
64,-0.7099609,-0.6772461,0.2670898,-12.87842,5.004883,-8.972168,0,0,0
65,-0.6860352,-0.625,0.2724609,-10.62012,1.708984,-24.78027,0,0,0
66,-0.5991211,-0.6816406,0.2709961,-2.929688,-85.38818,-88.07373,0,0,0
