motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
STRONG,10000,3,8,8,32,1000,1000,1000
index,ax,ay,az,gx,gy,gz,mx,my,mz
0,0.4331055,-1.265625,1.847168,-83.74023,-87.89062,149.9634,0,0,0
1,-0.3930664,-1.397949,0.3457031,-42.3584,-86.54785,57.06787,0,0,0
2,-0.6645508,-1.609863,0.2983398,-11.35254,-117.1265,5.126953,0,0,0
3,-1.012695,-1.725098,0.2236328,1.831055,-98.99902,-18.73779,0,0,0
4,-0.9160156,-1.441406,0.07617188,8.972168,-46.81396,-29.72412,0,0,0
5,-0.6923828,-1.149902,0.05419922,15.625,-39.85596,-37.78076,0,0,0
6,-0.6723633,-0.9663086,-0.03466797,19.59229,-47.05811,-48.88916,0,0,0
7,-0.7319336,-0.8891602,0.001464844,21.1792,-40.52734,-63.78174,0,0,0
8,-0.7749023,-0.8544922,0.06542969,22.15576,-28.19824,-80.87158,0,0,0
9,-0.7915039,-0.8618164,0.1201172,23.62061,-23.86475,-98.0835,0,0,0
10,-0.8120117,-0.8359375,0.1601562,26.61133,-37.47559,-115.0513,0,0,0
11,-0.7436523,-0.8271484,0.1625977,29.11377,-74.646,-131.958,0,0,0
12,-0.7075195,-0.8579102,0.2158203,29.23584,-112.915,-148.6206,0,0,0
13,-0.6699219,-0.9208984,0.1748047,26.9165,-126.0986,-164.2456,0,0,0
14,-0.5839844,-0.9453125,0.2480469,23.37646,-120.7886,-179.1992,0,0,0
15,-0.4960938,-1.009766,0.262207,19.9585,-115.1123,-194.0308,0,0,0
16,-0.4868164,-1.058594,0.2519531,16.6626,-115.5396,-208.7402,0,0,0
17,-0.3676758,-1.160156,0.2563477,12.3291,-117.6758,-222.7783,0,0,0
18,-0.3032227,-1.237305,0.3505859,6.835938,-118.4082,-235.8398,0,0,0
19,-0.2402344,-1.28125,0.3793945,0.6713867,-110.6567,-247.0703,0,0,0
20,-0.1479492,-1.361328,0.3637695,-5.004883,-96.06934,-255.7373,0,0,0
21,-0.1430664,-1.416016,0.4516602,-9.399414,-77.33154,-262.085,0,0,0
22,-0.08740234,-1.455566,0.4208984,-11.96289,-61.88965,-266.3574,0,0,0
23,-0.08349609,-1.452148,0.4853516,-13.12256,-48.58398,-268.4937,0,0,0
24,0.01855469,-1.388184,0.3925781,-12.87842,-36.9873,-268.9819,0,0,0
25,0.08203125,-1.28418,0.4755859,-12.81738,-33.69141,-267.6392,0,0,0
26,0.1757812,-1.217773,0.519043,-12.87842,-39.18457,-264.4653,0,0,0
27,0.2348633,-1.104492,0.5341797,-13.48877,-54.93164,-259.7046,0,0,0
28,0.315918,-1.064453,0.5742188,-14.95361,-75.56152,-253.9673,0,0,0
29,0.2553711,-1.026367,0.5532227,-17.76123,-100.0366,-246.8262,0,0,0
30,0.3154297,-0.9467773,0.6186523,-21.72852,-126.9531,-237.0605,0,0,0
31,0.3188477,-0.824707,0.5820312,-27.09961,-155.5176,-223.0835,0,0,0
32,0.3808594,-0.7617188,0.5737305,-32.95898,-168.5181,-205.3223,0,0,0
33,0.4067383,-0.6005859,0.4067383,-38.08594,-151.001,-186.8896,0,0,0
34,0.3808594,-0.4716797,0.3242188,-40.58838,-115.9668,-168.7012,0,0,0
35,0.3842773,-0.4521484,0.2231445,-40.77148,-83.61816,-150.6348,0,0,0
36,0.4521484,-0.4741211,0.2597656,-39.18457,-56.88477,-132.6904,0,0,0
37,0.4106445,-0.4658203,0.2709961,-35.82764,-32.34863,-114.9902,0,0,0
38,0.4140625,-0.4086914,0.2783203,-31.31104,-13.91602,-96.86279,0,0,0
39,0.3886719,-0.4038086,0.300293,-25.45166,-3.417969,-78.125,0,0,0
40,0.3339844,-0.375,0.2871094,-17.33398,8.972168,-57.86133,0,0,0
41,0.2700195,-0.3300781,0.2680664,-7.324219,32.53174,-36.13281,0,0,0
42,0.3051758,-0.2885742,0.3046875,1.831055,58.95996,-15.25879,0,0,0
43,0.3100586,-0.2211914,0.2744141,8.972168,74.40186,3.356934,0,0,0
44,0.1645508,-0.2109375,0.2680664,13.42773,66.65039,21.48438,0,0,0
45,0.01074219,-0.2270508,0.2709961,16.35742,44.49463,41.80908,0,0,0
46,-0.394043,-0.2451172,0.4213867,18.18848,26.24512,65.61279,0,0,0
47,-0.8583984,-0.2514648,0.6796875,21.24023,18.49365,96.49658,0,0,0
48,-1.372559,-0.3544922,0.6948242,27.46582,17.33398,137.2681,0,0,0
49,-1.98291,-0.293457,0.6958008,35.64453,23.01025,190.8569,0,0,0
50,-2.604004,-0.4667969,0.7802734,44.37256,50.65918,259.8877,0,0,0
51,-3.413086,-0.6083984,1.063965,53.83301,87.76855,349.6704,0,0,0
52,-2.962402,-2.152832,1.009277,70.3125,111.9995,461.9751,0,0,0
53,-2.665039,-4.67334,1.219238,84.35059,202.5146,584.7778,0,0,0
54,-1.863281,-5.851562,1.266602,62.19482,439.0259,706.2378,0,0,0
55,-0.8061523,-5.630859,1.070312,-36.07178,639.0991,793.396,0,0,0
56,0.8193359,-4.458008,-0.007324219,-166.3208,540.9546,809.5703,0,0,0
57,0.2348633,-4.709961,-0.25,-204.9561,187.3169,738.2202,0,0,0
58,0.5039062,-2.805664,2.137207,-178.833,150.8789,586.9751,0,0,0
59,0.7167969,-1.236328,2.370117,-145.9961,218.75,401.6724,0,0,0
60,0.09130859,-0.8388672,0.796875,-76.17188,-27.03857,247.4976,0,0,0
61,-0.1240234,-0.8862305,0.6333008,-30.82275,-98.2666,132.6904,0,0,0
62,-0.6699219,-1.022949,0.01123047,-0.4272461,-105.1636,52.97852,0,0,0
63,-0.9511719,-1.058594,-0.5068359,7.507324,-156.311,8.483887,0,0,0
64,-0.9414062,-1.080078,-0.128418,-4.821777,-87.70752,-15.625,0,0,0
65,-0.9179688,-0.9482422,0.1552734,-12.87842,-15.56396,-30.70068,0,0,0
66,-0.8496094,-0.8427734,0.2880859,-14.70947,-24.10889,-41.38184,0,0,0
