motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
OFF,10000,3,32,8,8,1000,1000,1000
index,ax,ay,az,gx,gy,gz,mx,my,mz
0,-0.3295898,-0.9130859,-0.5161133,-26.12305,30.63965,22.46094,0,0,0
1,-0.3339844,-0.9702148,-0.5268555,-25.87891,20.1416,19.77539,0,0,0
2,-0.2836914,-1.087402,-0.5102539,-24.90234,10.98633,15.93018,0,0,0
3,-0.215332,-0.9169922,-0.5107422,-23.37646,1.525879,10.43701,0,0,0
4,-0.1943359,-0.8930664,-0.4619141,-21.42334,-2.929688,3.295898,0,0,0
5,-0.1777344,-0.8652344,-0.5224609,-19.83643,-6.774902,-5.126953,0,0,0
6,-0.09619141,-0.8710938,-0.5893555,-19.16504,-10.31494,-15.07568,0,0,0
7,-0.07177734,-0.9482422,-0.6894531,-19.83643,-6.225586,-26.48926,0,0,0
8,-0.07910156,-0.9467773,-0.7724609,-22.33887,4.272461,-37.78076,0,0,0
9,-0.01123047,-1.008301,-0.8217773,-26.9165,12.02393,-47.72949,0,0,0
10,0.09277344,-1.075684,-0.8930664,-32.83691,12.02393,-56.70166,0,0,0
11,0.1787109,-1.087891,-0.8491211,-39.00146,10.62012,-66.34521,0,0,0
12,0.2626953,-1.139648,-0.9326172,-43.64014,21.54541,-78.43018,0,0,0
13,0.2885742,-1.16748,-0.7573242,-46.32568,48.88916,-93.07861,0,0,0
14,0.2978516,-1.26416,-0.7148438,-46.14258,82.21436,-108.9478,0,0,0
15,0.3989258,-1.352539,-0.8374023,-42.3584,104.248,-125,0,0,0
16,0.4746094,-1.342773,-0.9228516,-35.7666,111.5112,-140.1978,0,0,0
17,0.4785156,-1.313965,-0.8803711,-28.01514,115.7837,-154.9072,0,0,0
18,0.5068359,-1.273438,-0.7724609,-18.55469,108.2153,-168.8232,0,0,0
19,0.5322266,-1.262207,-0.6625977,-9.460449,86.12061,-181.1523,0,0,0
20,0.2753906,-1.247559,-0.5654297,-0.8544922,59.69238,-190.5518,0,0,0
21,0.2314453,-1.220215,-0.7260742,4.882812,43.64014,-196.4722,0,0,0
22,0.2265625,-1.195801,-0.7890625,9.765625,42.11426,-198.6084,0,0,0
23,0.1640625,-1.060059,-0.6801758,14.03809,50.53711,-197.3267,0,0,0
24,0.1000977,-1.010254,-0.6401367,18.18848,60.72998,-193.2373,0,0,0
25,0.03662109,-0.9360352,-0.6762695,22.2168,62.31689,-186.6455,0,0,0
26,-0.05859375,-0.8217773,-0.6655273,25.02441,52.55127,-177.7344,0,0,0
27,-0.08300781,-0.7060547,-0.6313477,26.48926,34.48486,-166.9312,0,0,0
28,-0.1020508,-0.6381836,-0.6166992,26.97754,13.3667,-154.8462,0,0,0
29,-0.125,-0.5415039,-0.5888672,26.7334,-7.141113,-141.7236,0,0,0
30,-0.1269531,-0.4453125,-0.550293,26.30615,-23.68164,-127.7466,0,0,0
31,-0.08154297,-0.355957,-0.5458984,25.93994,-37.10938,-113.1592,0,0,0
32,-0.07714844,-0.2993164,-0.6035156,25.5127,-48.52295,-98.51074,0,0,0
33,-0.04882812,-0.2675781,-0.5908203,25.14648,-53.83301,-83.92334,0,0,0
34,-0.005859375,-0.2324219,-0.5644531,24.6582,-49.49951,-69.88525,0,0,0
35,0.02001953,-0.2099609,-0.5791016,25.14648,-36.62109,-56.57959,0,0,0
36,0.01513672,-0.1811523,-0.5986328,26.24512,-21.72852,-43.21289,0,0,0
37,0.01025391,-0.2050781,-0.6494141,27.46582,-10.43701,-29.72412,0,0,0
38,-0.007324219,-0.2099609,-0.7182617,27.83203,-2.563477,-15.99121,0,0,0
39,-0.0234375,-0.2280273,-0.8125,26.30615,4.821777,-2.01416,0,0,0
40,-0.05029297,-0.1865234,-0.8125,22.70508,12.57324,12.39014,0,0,0
41,-0.1191406,-0.1337891,-0.8125,17.33398,24.6582,27.40479,0,0,0
42,-0.2275391,-0.08154297,-0.7958984,10.49805,44.31152,43.88428,0,0,0
43,-0.2861328,-0.02636719,-0.7563477,2.624512,68.90869,63.23242,0,0,0
44,-0.668457,-0.003417969,-0.800293,-6.713867,83.74023,86.24268,0,0,0
45,-1.504883,-0.02978516,-1.067383,-19.04297,87.64648,115.6006,0,0,0
46,-2.270996,-0.0859375,-1.177246,-35.5835,94.66553,154.9072,0,0,0
47,-3.205566,-0.09765625,-0.6870117,-57.80029,135.498,209.8389,0,0,0
48,-4.047852,-0.2626953,0.4990234,-87.28027,238.4033,290.5884,0,0,0
49,-4.178711,-2.244629,2.587891,-120.3003,262.085,407.2266,0,0,0
50,-4.083984,-4.016113,1.970215,-113.8916,-105.957,551.9409,0,0,0
51,-4.249512,-6.101074,-2.378418,6.04248,-749.3286,697.0825,0,0,0
52,-2.304199,-7.712891,-3.310547,207.9468,-850.5249,782.7148,0,0,0
53,-0.559082,-6.433105,-2.738281,279.1748,-235.4126,810.8521,0,0,0
54,0.1445312,-5.017578,-2.317383,190.8569,-38.39111,776.062,0,0,0
55,-0.3476562,-2.427734,-2.09082,123.3521,-280.3955,653.0762,0,0,0
56,0.159668,-1.411621,-1.270996,89.47754,-288.0249,490.7837,0,0,0
57,0.5024414,-0.3999023,-0.4257812,41.93115,-6.530762,335.3882,0,0,0
58,0.6542969,-0.3530273,-0.06054688,6.103516,124.2065,211.3037,0,0,0
59,-0.7680664,-0.96875,0.7128906,21.3623,45.6543,43.21289,0,0,0
60,-0.8891602,-0.9692383,0.4667969,38.81836,-28.86963,23.25439,0,0,0
61,-0.9272461,-0.8554688,0.2104492,50.47607,-22.82715,7.141113,0,0,0
62,-0.7480469,-0.7045898,0,55.05371,-21.11816,-7.873535,0,0,0
