motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
5/5 reps and random,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
74,-0.6030273,-1.341797,-0.3007812,78.8002,-110.3802,462.9421,,,
75,-0.1396484,-0.184082,-0.6933594,32.53555,-133.8177,237.3562,,,
76,-0.4804688,-0.2329102,0.2939453,25.45547,6.074905,167.8982,,,
77,-0.949707,-0.8701172,0.6870117,31.9252,33.29659,121.4504,,,
78,-1.154785,-1.137207,0.7055664,41.996,19.50264,87.45384,,,
79,-1.128906,-1.089355,0.484375,51.02921,-1.493454,64.01634,,,
80,-1.067383,-0.8261719,0.2631836,57.07169,-8.878708,46.43822,,,
81,-0.8554688,-0.5864258,-0.3676758,38.39493,3.511429,-18.99147,,,
82,-0.828125,-0.5068359,-0.3022461,28.56827,23.71407,-30.46608,,,
83,-0.7973633,-0.40625,-0.2954102,19.35196,35.00557,-40.96413,,,
84,-0.7636719,-0.2929688,-0.3007812,3.421783,48.4333,-64.76784,,,
85,-0.8276367,-0.2895508,-0.2246094,-11.59286,80.78194,-109.2014,,,
86,-0.7163086,-0.402832,-0.230957,-14.33945,78.15742,-124.2161,,,
87,-0.4521484,-0.5800781,-0.2827148,-20.13779,27.98653,-159.9827,,,
88,-0.4775391,-0.7675781,-0.3203125,-24.89853,9.981155,-180.3684,,,
89,-0.5361328,-0.8505859,-0.331543,-30.51376,7.844925,-199.3504,,,
90,-0.6367188,-1.047852,-0.4526367,-36.37314,17.1833,-216.2571,,,
91,-0.5029297,-1.257812,-0.4506836,-42.9039,29.87862,-230.7224,,,
92,-0.2211914,-1.499512,-0.3081055,-52.05917,42.39082,-255.8079,,,
93,-0.215332,-1.678711,-0.3979492,-51.81503,58.62617,-276.926,,,
94,-0.2900391,-1.708496,-0.3930664,-49.00742,69.18526,-283.762,,,
95,-0.1982422,-1.694336,-0.2421875,-44.61288,74.1291,-286.7527,,,
96,-0.1391602,-1.753906,-0.2114258,-38.02109,66.68282,-287.1799,,,
97,0.05664062,-1.785645,-0.1499023,-30.26962,49.04366,-286.5085,,,
98,0.02587891,-1.80127,-0.2919922,-22.33505,29.69551,-285.4709,,,
99,0.01318359,-1.665527,-0.253418,-15.37704,15.59639,-281.6868,,,
100,0.1987305,-1.614746,-0.2539062,-9.51767,2.595901,-275.095,,,
101,-0.01220703,-1.518066,-0.3183594,-4.695892,-15.95879,-266.3669,,,
102,0.05957031,-1.467773,-0.2773438,-0.9117126,-31.03447,-255.3196,,,
103,0.1196289,-1.322266,-0.2578125,2.628326,-42.81425,-243.2346,,,
104,0.06884766,-1.18457,-0.3496094,5.924225,-50.38261,-230.1731,,,
105,0.05371094,-1.053223,-0.293457,9.220123,-52.82402,-216.1961,,,
106,0.02294922,-0.9604492,-0.3642578,12.02774,-51.66435,-201.9138,,,
107,-0.001464844,-0.9179688,-0.4311523,14.59122,-53.3123,-187.3264,,,
108,-0.02783203,-0.8222656,-0.487793,16.42227,-61.97929,-172.4949,,,
109,-0.04833984,-0.6645508,-0.5102539,17.45987,-74.73564,-157.9075,,,
110,0.03613281,-0.5410156,-0.5463867,18.3754,-86.94267,-132.5779,,,
111,0.0546875,-0.4355469,-0.605957,18.86368,-85.11162,-121.4695,,,
112,0.05175781,-0.3554688,-0.6567383,18.92471,-74.61357,-110.4832,,,
113,0.1083984,-0.3007812,-0.6777344,19.29092,-54.47197,-99.31374,,,
114,0.09033203,-0.269043,-0.7524414,19.84024,-35.61211,-88.20534,,,
115,0.1083984,-0.2387695,-0.8081055,20.02335,-22.00127,-76.8528,,,
116,0.2646484,-0.2026367,-0.8857422,18.86368,-12.54082,-65.62233,,,
117,0.3491211,-0.1743164,-0.7294922,17.39883,-7.413864,-56.46706,,,
118,0.2363281,-0.1064453,-0.7451172,16.72745,-3.019333,-40.96413,,,
119,0.1645508,-0.1210938,-0.7675781,16.17813,-4.789352,-31.99196,,,
120,0.09667969,-0.1455078,-0.8422852,14.65225,-10.83183,-21.67702,,,
121,0.005371094,-0.1953125,-0.9165039,12.02774,-17.5457,-10.14137,,,
122,-0.04638672,-0.2006836,-1.049805,7.633209,-11.68633,2.859116,,,
123,-0.08740234,-0.1494141,-0.9887695,2.07901,14.80293,17.14134,,,
124,-0.09472656,-0.1044922,-1.112793,-4.451752,44.34395,32.46117,,,
125,-0.3007812,-0.03222656,-1.146484,-11.77597,66.01143,49.48997,,,
126,-0.7524414,-0.09375,-1.378418,-21.5416,79.25606,70.24193,,,
127,-1.664062,-0.2861328,-1.408691,-34.66415,97.87178,99.23363,,,
128,-3.122559,-0.7143555,-0.6987305,-73.29941,220.1252,203.2375,,,
129,-4.205566,-1.060547,-0.1875,-102.6573,302.7057,283.6819,,,
130,-4.729004,-2.607422,1.452637,-135.6163,265.0471,394.7048,,,
131,-2.750977,-4.974121,2.902344,-141.9029,44.77119,537.283,,,
132,-2.134766,-6.801758,-0.4462891,-95.45517,-156.5228,673.9407,,,
133,0.5024414,-7.966309,-2.316895,-37.65488,-281.7059,770.4373,,,
134,3.183105,-5.681152,-0.4804688,-6.038666,-164.2132,794.9734,,,
135,1.806152,-4.225098,-1.023926,-5.428314,-82.42607,731.6189,,,
136,0.6899414,-2.557129,-0.6962891,-2.071381,-142.7288,620.2908,,,
137,0.4951172,-1.206055,-1.09375,2.140045,-126.1883,492.7883,,,
138,0.59375,-0.5830078,-0.7260742,5.435944,-168.1805,365.5911,,,
139,0.2617188,-0.3730469,-0.4399414,12.76016,-127.409,253.5915,,,
140,-0.5185547,-0.5263672,-0.2495117,23.13614,-57.46269,168.3254,,,
141,-0.9658203,-0.824707,-0.02929688,34.0004,-12.17461,109.9758,,,
142,-1.122559,-1.00293,0.006835938,44.37637,8.333206,71.21849,,,
143,-1.188477,-1.04248,-0.01171875,52.67715,9.309769,46.25511,,,
144,-1.20459,-0.984375,-0.1088867,57.68204,16.63399,31.11839,,,
145,-1.044434,-0.9541016,-0.480957,59.51309,20.60127,19.70482,,,
146,-0.8540039,-0.8823242,-0.5673828,54.63028,23.53096,7.619858,,,
147,-0.8173828,-0.6958008,-0.5444336,30.94864,27.19307,-15.69557,,,
148,-0.8432617,-0.5986328,-0.3774414,20.32852,34.70039,-23.81325,,,
149,-0.8554688,-0.5307617,-0.2670898,13.43155,38.85078,-30.09987,,,
150,-0.8251953,-0.4638672,-0.2304688,9.952545,35.98213,-35.47096,,,
151,-0.7998047,-0.387207,-0.2094727,8.12149,40.80391,-41.2693,,,
152,-0.7070312,-0.2875977,-0.2314453,6.961823,33.47969,-55.79567,,,
153,-0.6962891,-0.3183594,-0.253418,6.473541,30.79414,-64.95094,,,
154,-0.6435547,-0.3354492,-0.2919922,5.558014,25.48409,-75.32692,,,
155,-0.5917969,-0.3300781,-0.3608398,3.9711,18.64815,-86.67946,,,
156,-0.5283203,-0.3808594,-0.4462891,1.529694,12.11739,-98.64235,,,
157,-0.449707,-0.5292969,-0.5332031,-1.338959,12.84981,-111.0935,,,
158,-0.3828125,-0.5922852,-0.5097656,-5.245209,11.6291,-123.9109,,,
159,-0.4213867,-0.6152344,-0.4750977,-9.63974,-6.010056,-136.7893,,,
160,-0.3862305,-0.6518555,-0.3701172,-14.76669,-33.04863,-148.8743,,,
161,-0.3916016,-0.722168,-0.362793,-20.19882,-48.85674,-160.8982,,,
162,-0.4873047,-0.8920898,-0.3681641,-25.44785,-36.40556,-172.0066,,,
163,-0.3842773,-1.07959,-0.3637695,-29.5372,-0.08964539,-180.7346,,,
164,-0.4863281,-1.199707,-0.4560547,-31.18515,39.88838,-187.7537,,,
165,-0.4213867,-1.3125,-0.3837891,-30.39169,69.36836,-192.6975,,,
166,-0.4125977,-1.394043,-0.4560547,-28.01132,78.21846,-195.5051,,,
167,-0.2661133,-1.494141,-0.2880859,-24.95956,66.25557,-197.8245,,,
168,-0.1513672,-1.52832,-0.3857422,-22.15195,37.08076,-200.8762,,,
169,-0.02734375,-1.565918,-0.3305664,-21.17538,2.290726,-203.7449,,,
170,-0.06689453,-1.575195,-0.5947266,-21.11435,-20.23125,-205.8811,,,
171,0.06982422,-1.589844,-0.331543,-21.35849,-28.28789,-207.0408,,,
172,0.1484375,-1.536621,-0.3168945,-20.01572,-31.33965,-208.3836,,,
173,0.1665039,-1.477539,-0.3505859,-18.4288,-44.03496,-209.8484,,,
174,0.2207031,-1.448242,-0.3935547,-16.84189,-59.72099,-211.4353,,,
175,0.2182617,-1.385254,-0.3989258,-15.86533,-71.43974,-212.4119,,,
176,0.2045898,-1.31543,-0.378418,-14.52255,-71.25664,-212.3508,,,
177,0.1796875,-1.205566,-0.3618164,-12.32529,-64.11552,-211.0081,,,
178,0.06738281,-1.180176,-0.4160156,-9.029388,-57.46269,-207.8953,,,
179,-0.02587891,-0.9204102,-0.6020508,2.506256,-85.783,-181.7112,,,
180,-0.02099609,-0.8623047,-0.5952148,4.09317,-81.99883,-173.6546,,,
181,-0.01318359,-0.7587891,-0.6259766,5.558014,-69.36455,-164.9876,,,
182,-0.002929688,-0.6806641,-0.7011719,7.389069,-52.57988,-155.7713,,,
183,0.02929688,-0.6220703,-0.7163086,9.403229,-37.13799,-145.7005,,,
184,0.05371094,-0.5507812,-0.7597656,11.11221,-26.21269,-134.8972,,,
185,0.06933594,-0.4750977,-0.7958984,12.14981,-20.59746,-123.8499,,,
186,0.1152344,-0.4116211,-0.8291016,12.21085,-18.40019,-112.8635,,,
187,0.1411133,-0.3544922,-0.8364258,11.35635,-17.91191,-101.8772,,,
188,0.1367188,-0.3061523,-0.8510742,9.76944,-17.97295,-91.07399,,,
189,0.1323242,-0.2714844,-0.8876953,7.633209,-17.42363,-80.20973,,,
190,0.1313477,-0.230957,-0.8740234,5.008698,-15.22636,-69.2234,,,
191,0.1132812,-0.2075195,-0.8852539,2.20108,-9.244919,-58.05397,,,
192,0.09814453,-0.1928711,-0.9038086,-0.5455017,3.511429,-46.51833,,,
193,0.0390625,-0.1953125,-0.9335938,-3.658295,21.94405,-34.25026,,,
