motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
OFF,10000,3,32,8,8,1000,1000,1000
index,ax,ay,az,gx,gy,gz,mx,my,mz
0,0.4453125,-0.7436523,0.265625,-20.20264,-51.33057,-22.88818,0,0,0
1,0.1606445,-0.7241211,-0.2290039,-12.93945,-96.13037,-28.32031,0,0,0
2,-0.02880859,-0.6850586,-0.4414062,-8.178711,-172.8516,-34.60693,0,0,0
3,-0.02441406,-0.8261719,-0.340332,-6.469727,-241.8213,-39.48975,0,0,0
4,-0.03173828,-0.8696289,-0.4067383,-8.117676,-271.1792,-43.88428,0,0,0
5,0.07861328,-0.9462891,-0.3208008,-10.25391,-245.4224,-48.88916,0,0,0
6,-0.01171875,-1.064941,-0.3745117,-12.63428,-177.9785,-54.44336,0,0,0
7,0.04296875,-1.048828,-0.4980469,-14.64844,-96.31348,-60.60791,0,0,0
8,0.1289062,-1.077637,-0.5507812,-15.56396,-23.80371,-67.26074,0,0,0
9,0.2348633,-1.125488,-0.6347656,-15.74707,19.9585,-74.46289,0,0,0
10,0.2612305,-1.147949,-0.6474609,-15.44189,30.45654,-82.09229,0,0,0
11,0.265625,-1.140137,-0.5820312,-15.38086,17.51709,-89.66064,0,0,0
12,0.3295898,-1.073242,-0.5512695,-14.83154,-10.43701,-96.31348,0,0,0
13,0.3046875,-1.012695,-0.5776367,-14.77051,-44.18945,-102.478,0,0,0
14,0.3110352,-1.053711,-0.5522461,-15.68604,-67.93213,-108.0322,0,0,0
15,0.3671875,-1.152832,-0.5961914,-17.33398,-75.98877,-112.9761,0,0,0
16,0.3745117,-1.227051,-0.5727539,-19.16504,-64.51416,-117.1875,0,0,0
17,0.34375,-1.207031,-0.6000977,-19.40918,-37.59766,-120.9717,0,0,0
18,0.4145508,-1.253418,-0.6005859,-17.7002,-4.638672,-124.1455,0,0,0
19,0.4428711,-1.330566,-0.6293945,-14.03809,18.00537,-126.77,0,0,0
20,0.4780273,-1.393555,-0.6279297,-8.911133,24.4751,-128.3569,0,0,0
21,0.4492188,-1.393555,-0.6020508,-2.929688,25.63477,-129.3335,0,0,0
22,0.4750977,-0.953125,-0.5253906,4.272461,35.09521,-129.2114,0,0,0
