motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
Upper Cut - Right 10 Reps,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
75,-0.26982,2.50863,1.00408,224.18333,131.73615,129.70735,0,0,0
76,-0.32038,-0.70961,-0.01576,-196.81667,135.77615,86.94735,0,0,0
77,-0.0711,-1.89553,0.06776,-228.53667,100.61615,39.42735,0,0,0
78,0.20666,-0.09105,0.12888,-1.29665,58.41615,-55.85264,0,0,0
79,0.4137,1.61679,0.24856,88.06334,28.77615,-71.05264,0,0,0
80,0.33978,1.12655,-0.43592,-33.21665,33.17615,-21.89264,0,0,0
81,0.51994,0.54287,-0.36008,-62.29666,36.77615,-5.97264,0,0,0
82,0.37114,0.30639,-0.55048,-37.09665,33.49615,1.78735,0,0,0
83,0.44634,0.64079,-0.33,23.14334,21.01615,-3.85264,0,0,0
84,0.45498,0.85807,-0.32392,33.62334,21.49615,-1.01264,0,0,0
85,0.29082,0.78511,-0.30024,-21.13665,39.69615,17.54735,0,0,0
86,0.27066,0.47215,-0.27976,-39.45665,41.61615,24.42735,0,0,0
87,0.23226,0.41359,-0.29928,-32.33665,40.25615,27.10735,0,0,0
88,0.16282,0.38383,-0.32488,2.30334,34.17615,25.42735,0,0,0
89,0.2329,0.54703,-0.20392,27.38334,26.81615,22.82735,0,0,0
90,0.25818,0.60687,-0.16968,26.38334,24.93615,23.42735,0,0,0
91,0.28826,0.54831,-0.17224,9.10334,24.53615,23.86735,0,0,0
92,0.32698,0.42831,-0.18984,-2.57665,24.97615,23.30735,0,0,0
93,0.3721,0.39855,-0.19208,-2.81665,25.33615,19.34735,0,0,0
94,0.3993,0.35855,-0.18568,-0.89665,24.21615,16.54735,0,0,0
95,0.43322,0.36047,-0.18728,4.54334,18.61615,11.74735,0,0,0
96,0.49274,0.33039,-0.11048,10.46334,10.29615,6.02735,0,0,0
97,0.52602,0.39023,-0.1076,11.74334,7.05615,3.74735,0,0,0
98,0.60026,0.44143,-0.06856,0.14334,0.73615,0.70735,0,0,0
99,0.6345,0.33327,-0.07976,-20.69665,-4.46384,-0.85264,0,0,0
100,0.64346,0.26447,-0.1108,-26.09665,-6.98384,-1.93264,0,0,0
101,0.65818,0.25871,-0.07336,-22.53665,-12.26384,-6.33264,0,0,0
102,0.62106,0.27887,-0.11656,-17.97665,-17.78384,-10.65264,0,0,0
103,0.62586,0.18319,-0.18856,1.10334,-27.42384,-15.81264,0,0,0
104,0.67802,0.32495,-0.1108,18.34334,-31.66384,-18.49264,0,0,0
105,0.6777,0.41839,-0.09608,15.38334,-29.66384,-16.81264,0,0,0
106,0.6217,0.45775,-0.14056,6.30334,-28.06384,-14.65264,0,0,0
107,0.6153,0.40687,-0.14056,-15.09665,-29.10384,-10.49264,0,0,0
108,0.65722,0.29135,-0.15272,-25.13665,-29.34384,-6.33264,0,0,0
109,0.63418,0.24079,-0.21416,-15.81665,-28.06384,-5.05264,0,0,0
110,0.61082,0.25775,-0.24584,-5.53665,-28.18384,-5.77264,0,0,0
111,0.6105,0.45199,-0.15752,8.18334,-27.34384,-0.45264,0,0,0
