motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
benchpress_ethan_1,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
85,-0.09375,0.703125,0.25,-3.90625,-19.53125,9.765625,,,
86,-0.171875,0.6875,0.1875,-3.90625,-9.765625,5.859375,,,
87,-0.21875,0.640625,0.234375,-3.90625,-5.859375,5.859375,,,
88,-0.375,0.6875,0.09375,0,-5.859375,7.8125,,,
89,-0.359375,0.6875,0.21875,-5.859375,-1.953125,11.71875,,,
90,-0.34375,0.6875,0.1875,-1.953125,-1.953125,11.71875,,,
91,-0.3125,0.71875,0.234375,-1.953125,-1.953125,11.71875,,,
92,-0.40625,0.75,0.125,1.953125,11.71875,-5.859375,,,
93,-0.40625,0.765625,0.21875,7.8125,13.671875,-5.859375,,,
94,-0.421875,0.71875,0.125,11.71875,17.578125,-5.859375,,,
95,-0.328125,0.640625,0.1875,13.671875,19.53125,-7.8125,,,
96,-0.3125,0.625,0.140625,15.625,31.25,-13.671875,,,
97,-0.28125,0.59375,0.171875,23.4375,11.71875,-15.625,,,
98,-0.265625,0.65625,0,25.390625,25.390625,-23.4375,,,
99,-0.28125,0.671875,0.125,19.53125,21.484375,-19.53125,,,
100,-0.203125,0.859375,0,23.4375,27.34375,-15.625,,,
101,-0.28125,0.9375,0.03125,1.953125,21.484375,-5.859375,,,
102,-0.140625,1,0.0625,0,19.53125,7.8125,,,
103,-0.28125,0.96875,0.015625,-11.71875,1.953125,3.90625,,,
104,-0.1875,1.046875,0,-21.484375,15.625,5.859375,,,
105,-0.265625,0.96875,0,-37.109375,1.953125,5.859375,,,
106,-0.28125,1.03125,0.03125,-48.828125,1.953125,9.765625,,,
107,-0.296875,1.046875,0.046875,-58.59375,1.953125,17.578125,,,
108,-0.328125,1.234375,0.171875,-58.59375,0,25.390625,,,
109,-0.40625,1.4375,0.125,-46.875,-15.625,27.34375,,,
110,-0.515625,1.609375,0.234375,-23.4375,-9.765625,15.625,,,
111,-0.25,1.296875,0.203125,39.0625,-3.90625,-39.0625,,,
112,-0.234375,1.25,0.34375,39.0625,-1.953125,-37.109375,,,
113,-0.484375,1.25,0.03125,37.109375,-25.390625,-33.203125,,,
