motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
benchpress_jared_2,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
85,-0.3125,0.8125,-0.28125,27.34375,25.390625,7.8125,,,
86,-0.59375,0.78125,-0.109375,-15.625,-27.34375,23.4375,,,
87,-0.3125,0.8125,-0.109375,11.71875,-7.8125,19.53125,,,
88,-0.234375,0.78125,-0.21875,11.71875,-3.90625,17.578125,,,
89,-0.125,0.859375,-0.078125,-5.859375,3.90625,19.53125,,,
90,-0.125,0.765625,-0.078125,-3.90625,19.53125,9.765625,,,
91,-0.125,0.703125,-0.09375,0,17.578125,7.8125,,,
92,0.140625,0.984375,0.171875,-19.53125,23.4375,23.4375,,,
93,0,0.96875,0.046875,-13.671875,17.578125,19.53125,,,
94,0,0.953125,0,-19.53125,27.34375,19.53125,,,
95,0.140625,0.859375,0.09375,-15.625,25.390625,1.953125,,,
96,0.265625,0.984375,0.09375,-13.671875,35.15625,13.671875,,,
97,0.203125,0.953125,0.0625,-15.625,21.484375,0,,,
98,0.078125,1,0.015625,-11.71875,-11.71875,0,,,
99,0,1.015625,0.0625,-11.71875,-9.765625,0,,,
100,0,1.015625,0.15625,-27.34375,-17.578125,-1.953125,,,
101,0.03125,0.96875,0.15625,-35.15625,-11.71875,0,,,
102,0,1.109375,0.1875,-37.109375,-7.8125,11.71875,,,
103,0,1.234375,0.140625,-35.15625,1.953125,17.578125,,,
104,-0.015625,1.484375,0.1875,-19.53125,13.671875,7.8125,,,
105,-0.109375,1.703125,0.234375,-11.71875,23.4375,-21.484375,,,
106,-0.15625,1.703125,0.171875,9.765625,23.4375,-33.203125,,,
107,-0.25,1.484375,0.171875,33.203125,19.53125,-35.15625,,,
108,0,1.078125,0.046875,25.390625,-7.8125,0,,,
109,-0.078125,1.140625,0.015625,13.671875,-7.8125,-1.953125,,,
110,-0.09375,1.109375,0.03125,3.90625,-11.71875,0,,,
111,-0.03125,0.984375,0,3.90625,-15.625,7.8125,,,
112,0,1,0.078125,0,-7.8125,9.765625,,,
113,0,0.96875,0.03125,0,-17.578125,17.578125,,,
114,0,0.9375,0.0625,-1.953125,-3.90625,15.625,,,
115,-0.03125,0.71875,0.03125,0,-9.765625,9.765625,,,
116,-0.03125,0.765625,0.03125,-17.578125,-27.34375,19.53125,,,
117,-0.078125,0.734375,0.0625,-23.4375,-19.53125,15.625,,,
118,-0.015625,0.671875,0.015625,-3.90625,-11.71875,-5.859375,,,
119,0,0.71875,-0.015625,-1.953125,-21.484375,-5.859375,,,
120,-0.140625,0.734375,-0.046875,17.578125,-15.625,-29.296875,,,
121,-0.0625,0.921875,0.015625,13.671875,-9.765625,-19.53125,,,
122,-0.171875,1.046875,0.015625,13.671875,-9.765625,-19.53125,,,
123,-0.296875,1.03125,0.015625,9.765625,3.90625,-31.25,,,
124,-0.125,0.859375,0.015625,1.953125,7.8125,-19.53125,,,
125,-0.34375,0.875,-0.078125,15.625,0,-15.625,,,
126,-0.3125,0.84375,0,9.765625,5.859375,-11.71875,,,
127,-0.34375,0.96875,-0.03125,0,13.671875,0,,,
128,-0.484375,0.65625,-0.1875,19.53125,15.625,-1.953125,,,
129,-0.140625,0.5625,-0.015625,17.578125,37.109375,-5.859375,,,
130,-0.265625,0.9375,-0.1875,39.0625,50.78125,19.53125,,,
131,-0.53125,0.96875,0,-9.765625,-15.625,1.953125,,,
132,0.234375,0.625,-0.125,3.90625,25.390625,-7.8125,,,
133,-0.09375,0.984375,0,-17.578125,17.578125,5.859375,,,
134,0,0.8125,-0.03125,-11.71875,23.4375,-5.859375,,,
135,0.015625,0.875,-0.078125,-15.625,21.484375,-11.71875,,,
136,-0.015625,0.765625,0.03125,-5.859375,21.484375,0,,,
137,0.046875,1.125,0.046875,-3.90625,3.90625,9.765625,,,
138,-0.0625,1.078125,-0.03125,-9.765625,-11.71875,3.90625,,,
139,-0.03125,1.09375,-0.09375,-7.8125,-9.765625,3.90625,,,
140,0.015625,1.0625,-0.03125,-3.90625,-21.484375,3.90625,,,
141,-0.09375,1.03125,0.046875,-15.625,-11.71875,1.953125,,,
142,0.046875,1,0,-27.34375,-11.71875,7.8125,,,
143,0.015625,1.015625,0.015625,-25.390625,-3.90625,11.71875,,,
144,-0.046875,1.015625,0.046875,-15.625,11.71875,13.671875,,,
145,-0.03125,1.109375,0,0,13.671875,19.53125,,,
146,-0.09375,1.328125,-0.03125,9.765625,11.71875,23.4375,,,
147,-0.265625,1.390625,-0.125,27.34375,9.765625,3.90625,,,
148,-0.234375,1.46875,-0.0625,21.484375,0,-11.71875,,,
149,-0.09375,1.234375,-0.171875,11.71875,-9.765625,-21.484375,,,
150,-0.03125,1.09375,-0.203125,21.484375,-17.578125,-9.765625,,,
151,0.03125,1.21875,-0.1875,27.34375,-7.8125,-1.953125,,,
152,-0.03125,1.046875,-0.09375,44.921875,-31.25,-1.953125,,,
153,0,1.15625,-0.171875,25.390625,-23.4375,0,,,
154,-0.109375,0.984375,0,3.90625,-29.296875,-3.90625,,,
155,0,0.96875,0.03125,-21.484375,-46.875,0,,,
156,-0.046875,0.859375,-0.125,-27.34375,-44.921875,1.953125,,,
157,-0.09375,0.71875,-0.03125,-25.390625,-44.921875,11.71875,,,
158,0.0625,0.8125,0,-23.4375,-23.4375,27.34375,,,
159,-0.234375,0.65625,0,-25.390625,0,-3.90625,,,
160,-0.140625,0.65625,-0.140625,-19.53125,3.90625,0,,,
161,-0.203125,0.609375,0,-13.671875,1.953125,0,,,
162,-0.28125,0.703125,-0.125,1.953125,3.90625,-7.8125,,,
163,-0.328125,0.765625,-0.125,21.484375,9.765625,-19.53125,,,
164,-0.296875,0.875,0.015625,1.953125,0,-11.71875,,,
165,-0.375,1.046875,-0.015625,7.8125,7.8125,-13.671875,,,
166,-0.34375,0.9375,0,1.953125,23.4375,-7.8125,,,
167,-0.296875,0.90625,-0.046875,0,19.53125,0,,,
168,-0.359375,0.90625,-0.0625,0,15.625,5.859375,,,
169,-0.296875,0.859375,-0.109375,3.90625,27.34375,5.859375,,,
170,-0.25,0.890625,-0.0625,0,-1.953125,21.484375,,,
171,-0.203125,0.890625,-0.0625,-3.90625,5.859375,25.390625,,,
172,-0.125,0.890625,-0.03125,0,0,19.53125,,,
173,-0.109375,0.8125,-0.0625,0,0,19.53125,,,
174,-0.140625,0.75,-0.078125,3.90625,9.765625,9.765625,,,
175,-0.046875,0.859375,0,-7.8125,13.671875,11.71875,,,
176,-0.078125,0.75,0,-5.859375,11.71875,3.90625,,,
177,-0.046875,0.78125,-0.046875,0,1.953125,0,,,
178,0.15625,0.859375,0.078125,-11.71875,11.71875,23.4375,,,
179,0.015625,0.921875,-0.03125,-3.90625,13.671875,9.765625,,,
180,0.125,0.9375,0.078125,-1.953125,13.671875,3.90625,,,
181,0.125,0.9375,0.078125,-3.90625,13.671875,7.8125,,,
182,0.125,1.09375,0,-23.4375,-1.953125,-3.90625,,,
183,0.15625,0.921875,0.046875,-23.4375,-13.671875,0,,,
184,0.21875,0.984375,0.109375,-31.25,-5.859375,-1.953125,,,
185,0.03125,0.921875,0.140625,-31.25,0,5.859375,,,
186,0.078125,1,0.078125,-19.53125,5.859375,27.34375,,,
187,0.03125,1.15625,0.203125,-11.71875,23.4375,42.96875,,,
188,-0.09375,1.609375,0.125,0,1.953125,29.296875,,,
189,-0.125,1.84375,0.1875,1.953125,7.8125,7.8125,,,
190,-0.078125,1.8125,0.15625,3.90625,3.90625,-23.4375,,,
191,0.25,1.21875,-0.125,42.96875,-5.859375,-17.578125,,,
192,0.09375,1.234375,0,35.15625,-25.390625,-21.484375,,,
193,0.359375,1.109375,0.125,37.109375,-17.578125,-21.484375,,,
194,0.140625,1.09375,0.078125,21.484375,-42.96875,-27.34375,,,
195,0.125,0.9375,0,-1.953125,-31.25,-21.484375,,,
196,0.125,0.734375,0.078125,0,-48.828125,-21.484375,,,
197,0.125,0.703125,0,5.859375,-19.53125,-5.859375,,,
198,0,0.59375,0.015625,-5.859375,-21.484375,7.8125,,,
199,-0.203125,0.640625,-0.03125,-17.578125,-29.296875,17.578125,,,
200,-0.15625,0.609375,0.140625,-15.625,-25.390625,15.625,,,
201,-0.296875,0.828125,-0.0625,11.71875,3.90625,-3.90625,,,
202,-0.296875,0.828125,-0.0625,11.71875,9.765625,-9.765625,,,
203,-0.25,0.875,-0.015625,11.71875,21.484375,-7.8125,,,
204,-0.265625,1,0.046875,1.953125,15.625,3.90625,,,
205,-0.34375,0.953125,0,7.8125,15.625,3.90625,,,
206,-0.203125,0.875,-0.03125,11.71875,17.578125,9.765625,,,
207,-0.296875,0.890625,-0.0625,13.671875,11.71875,11.71875,,,
208,-0.328125,0.890625,-0.09375,9.765625,13.671875,13.671875,,,
209,-0.25,0.828125,-0.09375,7.8125,19.53125,13.671875,,,
210,-0.25,0.75,-0.203125,17.578125,23.4375,1.953125,,,
211,-0.0625,0.71875,-0.140625,11.71875,23.4375,3.90625,,,
212,-0.03125,0.796875,-0.03125,21.484375,39.0625,-5.859375,,,
213,0,0.890625,-0.15625,7.8125,31.25,-7.8125,,,
214,-0.015625,0.90625,-0.03125,-3.90625,15.625,-3.90625,,,
215,0.109375,0.90625,-0.015625,-13.671875,13.671875,-5.859375,,,
216,0.28125,0.9375,-0.1875,-15.625,9.765625,0,,,
217,0.140625,0.90625,-0.015625,-3.90625,5.859375,-13.671875,,,
218,0.15625,0.8125,-0.015625,0,1.953125,-9.765625,,,
219,0.0625,0.890625,0.015625,-13.671875,19.53125,-5.859375,,,
220,0.015625,0.984375,-0.140625,-29.296875,-11.71875,-13.671875,,,
221,-0.046875,0.96875,0.03125,-54.6875,-15.625,0,,,
222,-0.046875,1.40625,0.15625,-35.15625,-15.625,29.296875,,,
223,-0.046875,1.40625,0.15625,-33.203125,-9.765625,25.390625,,,
224,-0.140625,1.65625,0.03125,1.953125,-7.8125,15.625,,,
225,-0.25,1.75,0.203125,25.390625,0,0,,,
226,-0.28125,1.75,0.125,29.296875,5.859375,-23.4375,,,
227,-0.1875,1.453125,0.078125,31.25,1.953125,-31.25,,,
228,-0.125,1.25,0.015625,25.390625,5.859375,-29.296875,,,
229,0.015625,1.109375,0,29.296875,-9.765625,-19.53125,,,
230,0.09375,1.15625,-0.015625,21.484375,-7.8125,-11.71875,,,
231,0.0625,1.15625,0,25.390625,0,3.90625,,,
232,0.0625,1.140625,0.015625,11.71875,-5.859375,-1.953125,,,
233,0,0.875,-0.09375,0,-25.390625,19.53125,,,
234,-0.09375,0.921875,0,-9.765625,-21.484375,29.296875,,,
235,0.03125,0.703125,-0.03125,-17.578125,-13.671875,41.015625,,,
236,0,0.578125,0.046875,-35.15625,-44.921875,46.875,,,
237,-0.09375,0.6875,0,-37.109375,-31.25,33.203125,,,
238,-0.171875,0.53125,-0.0625,-27.34375,-25.390625,25.390625,,,
239,-0.1875,0.53125,-0.078125,-7.8125,-17.578125,13.671875,,,
240,-0.015625,0.671875,0,-1.953125,-17.578125,9.765625,,,
241,-0.25,0.78125,0,5.859375,0,-11.71875,,,
242,0,0.9375,0.046875,0,11.71875,0,,,
243,-0.171875,0.9375,-0.015625,3.90625,19.53125,-11.71875,,,
244,-0.0625,0.921875,-0.09375,3.90625,29.296875,-9.765625,,,
245,-0.0625,0.8125,-0.015625,3.90625,17.578125,1.953125,,,
246,-0.15625,0.96875,-0.046875,3.90625,17.578125,1.953125,,,
247,-0.25,0.984375,0,3.90625,23.4375,0,,,
248,-0.1875,0.875,-0.046875,7.8125,21.484375,0,,,
249,0.203125,0.671875,-0.625,41.015625,103.515625,-9.765625,,,
250,-0.203125,0.90625,-0.203125,1.953125,-9.765625,-3.90625,,,
251,0.046875,0.578125,-0.09375,31.25,39.0625,-15.625,,,
252,-0.1875,0.703125,-0.0625,25.390625,39.0625,-33.203125,,,
253,0.03125,0.71875,0,15.625,33.203125,-29.296875,,,
254,0.0625,0.8125,-0.046875,0,1.953125,-11.71875,,,
255,-0.015625,1.046875,-0.109375,-3.90625,9.765625,-13.671875,,,
256,0.09375,0.84375,-0.03125,-9.765625,-1.953125,-7.8125,,,
257,-0.015625,0.90625,-0.03125,-23.4375,-5.859375,-11.71875,,,
258,-0.09375,1.09375,-0.15625,-27.34375,0,-21.484375,,,
259,-0.015625,0.984375,-0.0625,-21.484375,-13.671875,-13.671875,,,
260,-0.015625,0.984375,-0.03125,-19.53125,-25.390625,0,,,
261,-0.078125,1.046875,0.03125,-21.484375,-13.671875,3.90625,,,
262,-0.15625,1.03125,0.0625,-5.859375,-7.8125,15.625,,,
263,-0.1875,1.046875,0.125,-3.90625,-5.859375,27.34375,,,
264,-0.015625,1.453125,0.015625,-9.765625,19.53125,19.53125,,,
265,-0.109375,1.5,0.03125,-5.859375,23.4375,19.53125,,,
266,-0.125,1.515625,0.03125,7.8125,21.484375,0,,,
267,-0.078125,1.421875,-0.046875,25.390625,23.4375,-21.484375,,,
268,-0.0625,1.296875,-0.0625,37.109375,17.578125,-33.203125,,,
269,-0.09375,1.28125,-0.203125,44.921875,7.8125,-33.203125,,,
270,-0.125,1.1875,-0.03125,27.34375,0,-27.34375,,,
271,-0.015625,1.234375,-0.046875,7.8125,-7.8125,-27.34375,,,
272,0.046875,1.1875,-0.078125,3.90625,-23.4375,-15.625,,,
273,0.03125,1.21875,0,1.953125,-5.859375,-7.8125,,,
274,0.0625,1.03125,0,1.953125,-31.25,3.90625,,,
275,0.09375,0.78125,-0.171875,-31.25,-23.4375,19.53125,,,
276,-0.125,0.53125,0.015625,-27.34375,-27.34375,19.53125,,,
277,0.03125,0.703125,-0.046875,-41.015625,-41.015625,25.390625,,,
278,-0.09375,0.46875,-0.015625,-42.96875,-25.390625,-1.953125,,,
279,-0.171875,0.578125,-0.015625,-23.4375,-27.34375,-3.90625,,,
280,0,0.703125,-0.015625,-13.671875,-17.578125,-3.90625,,,
281,-0.234375,0.6875,0.03125,13.671875,-27.34375,-27.34375,,,
282,-0.1875,0.828125,0.046875,9.765625,0,-27.34375,,,
283,-0.109375,0.875,0.078125,-3.90625,27.34375,-39.0625,,,
284,-0.390625,0.8125,0.0625,23.4375,19.53125,-39.0625,,,
285,-0.078125,0.59375,0,23.4375,33.203125,7.8125,,,
286,-0.078125,0.59375,0,21.484375,21.484375,15.625,,,
287,-0.515625,0.890625,-0.03125,11.71875,21.484375,15.625,,,
288,-0.359375,0.8125,-0.109375,17.578125,33.203125,9.765625,,,
289,-0.34375,0.8125,-0.09375,13.671875,13.671875,5.859375,,,
290,-0.203125,0.765625,-0.078125,23.4375,21.484375,0,,,
291,-0.234375,0.640625,-0.1875,29.296875,35.15625,-1.953125,,,
292,-0.25,0.59375,-0.078125,35.15625,13.671875,-9.765625,,,
293,-0.09375,0.921875,0,15.625,13.671875,3.90625,,,
294,-0.109375,0.8125,-0.203125,11.71875,37.109375,-13.671875,,,
295,0,0.859375,-0.125,-1.953125,11.71875,0,,,
296,-0.1875,0.90625,-0.203125,-13.671875,15.625,-11.71875,,,
297,0.015625,0.84375,-0.078125,0,0,0,,,
298,-0.125,0.9375,-0.078125,0,-5.859375,15.625,,,
299,0,0.984375,-0.171875,-1.953125,5.859375,23.4375,,,
300,-0.109375,0.90625,-0.0625,-15.625,1.953125,13.671875,,,
301,-0.0625,1.09375,-0.015625,-46.875,-13.671875,23.4375,,,
302,-0.015625,1.09375,0,-62.5,-25.390625,25.390625,,,
