motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
benchpress_aaron_2,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
0,-0.0625,0.75,-0.59375,-37.109375,-19.53125,-3.90625,,,
1,-0.015625,0.640625,-0.453125,-46.875,-31.25,-1.953125,,,
2,0.015625,0.65625,-0.515625,-44.921875,-31.25,1.953125,,,
3,0.015625,0.671875,-0.421875,-35.15625,-27.34375,1.953125,,,
4,0,0.828125,-0.34375,-25.390625,-25.390625,0,,,
5,-0.328125,1,-0.296875,-27.34375,-29.296875,-31.25,,,
6,-0.265625,0.96875,-0.25,-25.390625,-29.296875,-27.34375,,,
7,-0.25,0.96875,-0.265625,-21.484375,-29.296875,-23.4375,,,
8,-0.28125,0.9375,-0.234375,-11.71875,-27.34375,-13.671875,,,
9,-0.296875,0.953125,-0.203125,-3.90625,-33.203125,-3.90625,,,
10,-0.3125,0.984375,-0.140625,-5.859375,-29.296875,0,,,
11,-0.390625,1,-0.203125,-9.765625,-31.25,1.953125,,,
12,-0.296875,0.984375,-0.09375,-17.578125,-29.296875,3.90625,,,
13,-0.296875,0.921875,-0.09375,-23.4375,-29.296875,9.765625,,,
14,-0.25,0.890625,-0.078125,-33.203125,-23.4375,15.625,,,
15,-0.234375,0.859375,-0.0625,-37.109375,-13.671875,19.53125,,,
16,-0.15625,0.8125,0,-31.25,1.953125,29.296875,,,
17,-0.09375,0.84375,0.015625,-27.34375,-1.953125,33.203125,,,
18,-0.09375,0.828125,-0.015625,-21.484375,-1.953125,31.25,,,
19,-0.203125,0.9375,0.046875,-29.296875,-13.671875,37.109375,,,
20,-0.171875,0.9375,0,-33.203125,-15.625,41.015625,,,
21,-0.09375,0.859375,0.046875,-46.875,-21.484375,50.78125,,,
22,0,0.609375,0.1875,-52.734375,-27.34375,54.6875,,,
23,-0.015625,0.4375,0.015625,-27.34375,-17.578125,37.109375,,,
24,-0.140625,0.484375,0.03125,-9.765625,-1.953125,-3.90625,,,
25,-0.21875,0.65625,0.109375,-9.765625,5.859375,-17.578125,,,
26,-0.046875,0.671875,0.234375,15.625,17.578125,-21.484375,,,
27,-0.140625,0.65625,0.234375,13.671875,27.34375,-23.4375,,,
28,-0.0625,0.640625,0.3125,17.578125,23.4375,-27.34375,,,
29,-0.140625,0.609375,0.1875,29.296875,9.765625,-27.34375,,,
30,-0.328125,0.890625,0.25,29.296875,15.625,-31.25,,,
31,-0.171875,0.765625,0.171875,35.15625,21.484375,-23.4375,,,
32,-0.25,0.8125,0.171875,25.390625,17.578125,-27.34375,,,
33,-0.296875,0.921875,0.125,25.390625,25.390625,-27.34375,,,
34,-0.15625,0.765625,0.09375,29.296875,13.671875,-31.25,,,
35,-0.1875,0.78125,0.125,29.296875,9.765625,-27.34375,,,
36,-0.203125,0.75,-0.078125,35.15625,21.484375,-27.34375,,,
37,-0.1875,0.875,-0.125,35.15625,13.671875,-3.90625,,,
38,-0.265625,0.921875,-0.171875,37.109375,13.671875,-1.953125,,,
39,-0.34375,0.953125,-0.140625,33.203125,-9.765625,-3.90625,,,
40,-0.375,1,-0.15625,17.578125,1.953125,-1.953125,,,
41,-0.375,0.984375,-0.15625,3.90625,11.71875,1.953125,,,
42,-0.40625,0.984375,-0.15625,-7.8125,9.765625,7.8125,,,
43,-0.3125,0.9375,-0.125,-19.53125,19.53125,13.671875,,,
44,-0.421875,0.96875,-0.15625,-29.296875,33.203125,17.578125,,,
45,-0.4375,1,-0.234375,-31.25,27.34375,21.484375,,,
46,-0.28125,1.046875,-0.21875,-35.15625,31.25,21.484375,,,
47,-0.234375,0.953125,-0.171875,-5.859375,5.859375,9.765625,,,
48,-0.140625,0.890625,-0.1875,-1.953125,-1.953125,9.765625,,,
49,-0.140625,0.90625,-0.1875,0,-13.671875,7.8125,,,
50,-0.140625,0.96875,-0.1875,9.765625,-25.390625,5.859375,,,
51,-0.203125,1.0625,-0.1875,11.71875,-31.25,0,,,
52,-0.21875,1.09375,-0.171875,7.8125,-31.25,-9.765625,,,
53,-0.28125,1.078125,-0.1875,0,-27.34375,-13.671875,,,
54,-0.296875,1.046875,-0.15625,-1.953125,-29.296875,-19.53125,,,
55,-0.3125,1.0625,-0.15625,-1.953125,-23.4375,-17.578125,,,
56,-0.21875,0.953125,-0.0625,-3.90625,-27.34375,-9.765625,,,
57,-0.3125,1.03125,-0.0625,-3.90625,-33.203125,-7.8125,,,
58,-0.28125,0.890625,0.046875,-11.71875,-29.296875,3.90625,,,
59,-0.265625,0.859375,0.046875,-13.671875,-23.4375,5.859375,,,
