motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
benchpress_jared_1,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
0,-0.25,0.875,0.09375,1.953125,-1.953125,-11.71875,,,
1,-0.296875,0.859375,0.078125,0,-5.859375,0,,,
2,-0.40625,0.890625,0.015625,1.953125,0,1.953125,,,
3,-0.359375,0.828125,0.078125,9.765625,5.859375,7.8125,,,
4,-0.328125,0.859375,0.078125,5.859375,17.578125,15.625,,,
5,-0.484375,0.78125,-0.03125,15.625,11.71875,15.625,,,
6,-0.34375,0.6875,0.0625,23.4375,7.8125,9.765625,,,
7,-0.25,1.046875,-0.109375,27.34375,9.765625,-11.71875,,,
8,0.140625,0.4375,-0.09375,44.921875,52.734375,-3.90625,,,
9,0.125,0.5625,0.078125,31.25,15.625,-7.8125,,,
10,-0.125,1.015625,-0.046875,19.53125,11.71875,-5.859375,,,
11,-0.203125,0.640625,0.015625,35.15625,9.765625,-17.578125,,,
12,-0.078125,1,-0.1875,11.71875,0,-5.859375,,,
13,-0.03125,0.9375,0,15.625,-21.484375,-1.953125,,,
14,-0.046875,0.953125,-0.234375,15.625,9.765625,-7.8125,,,
15,-0.015625,0.859375,-0.09375,5.859375,11.71875,1.953125,,,
16,-0.0625,1,0.015625,-11.71875,9.765625,5.859375,,,
17,-0.046875,1.265625,0.15625,-39.0625,9.765625,72.265625,,,
18,-0.046875,1.265625,0.15625,-37.109375,13.671875,70.3125,,,
19,-0.125,1.921875,-0.140625,-31.25,-1.953125,33.203125,,,
20,-0.234375,1.96875,-0.109375,-3.90625,0,-1.953125,,,
21,-0.21875,1.796875,-0.1875,29.296875,3.90625,-35.15625,,,
22,-0.1875,1.578125,-0.15625,42.96875,13.671875,-44.921875,,,
23,-0.0625,1.453125,-0.140625,33.203125,0,-29.296875,,,
24,0.09375,1.28125,-0.078125,23.4375,-13.671875,-25.390625,,,
25,0.125,1.171875,0,0,-13.671875,-27.34375,,,
26,0.03125,1.046875,-0.03125,-17.578125,0,-15.625,,,
27,0.140625,0.8125,0.03125,-11.71875,3.90625,-7.8125,,,
28,-0.234375,0.6875,-0.15625,-7.8125,7.8125,39.0625,,,
29,-0.28125,0.890625,0.078125,-42.96875,5.859375,50.78125,,,
30,-0.125,0.703125,-0.078125,-23.4375,-19.53125,80.078125,,,
31,-0.0625,0.453125,-0.0625,-15.625,-58.59375,74.21875,,,
32,-0.234375,0.5625,0.03125,-15.625,-39.0625,27.34375,,,
33,-0.1875,0.625,-0.125,-3.90625,0,-1.953125,,,
34,-0.03125,0.765625,0,0,-17.578125,-3.90625,,,
35,-0.125,0.84375,-0.140625,5.859375,-5.859375,-11.71875,,,
36,-0.171875,1,-0.125,15.625,-33.203125,9.765625,,,
37,0.109375,0.984375,0.0625,13.671875,-42.96875,5.859375,,,
38,-0.0625,0.859375,-0.046875,15.625,27.34375,-17.578125,,,
39,-0.3125,0.8125,-0.0625,15.625,27.34375,-21.484375,,,
40,-0.234375,0.8125,-0.171875,17.578125,39.0625,-27.34375,,,
41,-0.1875,0.9375,-0.109375,17.578125,39.0625,-27.34375,,,
42,-0.140625,0.625,-0.03125,13.671875,21.484375,-23.4375,,,
43,-0.234375,1.015625,-0.25,25.390625,48.828125,-39.0625,,,
44,-0.078125,0.546875,-0.03125,23.4375,13.671875,-23.4375,,,
45,-0.0625,0.625,-0.25,13.671875,37.109375,-31.25,,,
46,-0.03125,0.6875,-0.140625,7.8125,0,-17.578125,,,
47,-0.078125,0.609375,-0.078125,-3.90625,13.671875,-9.765625,,,
48,-0.0625,1.078125,-0.09375,-1.953125,31.25,-9.765625,,,
49,-0.046875,1.015625,-0.171875,-31.25,7.8125,15.625,,,
50,0.15625,0.96875,-0.0625,-35.15625,-25.390625,37.109375,,,
51,-0.03125,1.109375,0.0625,-60.546875,-21.484375,48.828125,,,
52,0.078125,1.359375,0.03125,-60.546875,-11.71875,56.640625,,,
53,-0.0625,1.8125,0,-37.109375,13.671875,37.109375,,,
54,-0.09375,1.96875,0.140625,-3.90625,-17.578125,19.53125,,,
55,-0.1875,1.96875,0.1875,23.4375,-15.625,-19.53125,,,
56,-0.109375,1.828125,0.015625,37.109375,-3.90625,-52.734375,,,
57,-0.046875,1.578125,0.015625,42.96875,-1.953125,-50.78125,,,
58,0.046875,1.421875,-0.0625,42.96875,-9.765625,-33.203125,,,
