motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
afzal-benchpress-bar,1500,10,16,16,16,500,500,500
54,0.359375,0.953125,0.09375,-1.953125,0,0,0,0,0
55,0.34375,0.921875,0.203125,0,0,-1.953125,0,0,0
56,0.390625,0.921875,0.125,0,0,0,0,0,0
57,0.34375,0.9375,0.109375,0,0,0,0,0,0
58,0.328125,0.9375,0.171875,0,0,0,0,0,0
59,0.328125,0.921875,0.109375,3.90625,-1.953125,0,0,0,0
60,0.34375,0.90625,0.15625,1.953125,0,0,0,0,0
61,0.3125,0.859375,0.109375,5.859375,-1.953125,-1.953125,0,0,0
62,0.296875,0.875,0.109375,9.765625,-1.953125,-3.90625,0,0,0
63,0.3125,1.03125,0,11.71875,-3.90625,-3.90625,0,0,0
64,0.3125,1.03125,0,11.71875,-3.90625,-3.90625,0,0,0
65,0.28125,0.875,0.015625,11.71875,-3.90625,-5.859375,0,0,0
66,0.265625,0.859375,-0.03125,9.765625,-1.953125,-5.859375,0,0,0
67,0.25,0.890625,-0.015625,9.765625,-3.90625,-3.90625,0,0,0
68,0.21875,0.953125,-0.078125,7.8125,-1.953125,-3.90625,0,0,0
69,0.25,0.953125,-0.078125,9.765625,0,-3.90625,0,0,0
70,0.25,0.96875,-0.046875,7.8125,-1.953125,-1.953125,0,0,0
71,0.28125,0.921875,-0.078125,9.765625,-1.953125,0,0,0,0
72,0.28125,1,-0.078125,7.8125,0,0,0,0,0
73,0.265625,0.890625,-0.09375,7.8125,0,0,0,0,0
74,0.21875,0.921875,-0.125,7.8125,0,-1.953125,0,0,0
75,0.234375,0.859375,-0.125,5.859375,0,0,0,0,0
76,0.234375,0.9375,-0.234375,7.8125,0,0,0,0,0
77,0.28125,0.875,-0.171875,9.765625,0,1.953125,0,0,0
78,0.25,0.859375,-0.15625,7.8125,0,0,0,0,0
79,0.21875,0.9375,-0.265625,5.859375,1.953125,1.953125,0,0,0
80,0.21875,0.984375,-0.265625,1.953125,0,1.953125,0,0,0
81,0.21875,0.984375,-0.265625,1.953125,0,1.953125,0,0,0
82,0.234375,1.015625,-0.359375,-3.90625,3.90625,0,0,0,0
83,0.28125,0.953125,-0.28125,0,1.953125,1.953125,0,0,0
84,0.21875,0.984375,-0.28125,0,0,1.953125,0,0,0
85,0.234375,0.953125,-0.21875,-3.90625,3.90625,0,0,0,0
86,0.234375,1,-0.28125,-5.859375,1.953125,0,0,0,0
87,0.328125,0.953125,-0.28125,-1.953125,0,0,0,0,0
88,0.265625,0.9375,-0.265625,0,0,0,0,0,0
89,0.28125,1,-0.234375,0,0,-1.953125,0,0,0
90,0.25,0.96875,-0.234375,0,0,-1.953125,0,0,0
91,0.25,0.953125,-0.234375,0,0,-3.90625,0,0,0
92,0.265625,0.953125,-0.203125,-1.953125,0,-3.90625,0,0,0
93,0.21875,1.0625,-0.28125,0,0,-3.90625,0,0,0
94,0.25,1.140625,-0.3125,3.90625,0,-3.90625,0,0,0
95,0.21875,1.09375,-0.28125,5.859375,-3.90625,-7.8125,0,0,0
96,0.1875,1.0625,-0.25,3.90625,-3.90625,-7.8125,0,0,0
97,0.203125,0.9375,-0.171875,-5.859375,0,-7.8125,0,0,0
98,0.125,0.921875,-0.25,-7.8125,-1.953125,0,0,0,0
99,0.171875,0.875,-0.109375,-7.8125,0,0,0,0,0
100,0.171875,0.9375,-0.125,-9.765625,0,0,0,0,0
101,0.125,0.921875,-0.0625,-13.671875,0,0,0,0,0
102,0.171875,0.875,-0.046875,-15.625,5.859375,1.953125,0,0,0
103,0.1875,1,-0.078125,-15.625,1.953125,1.953125,0,0,0
104,0.203125,0.96875,-0.109375,-15.625,3.90625,7.8125,0,0,0
105,0.171875,0.9375,-0.0625,-13.671875,1.953125,3.90625,0,0,0
106,0.234375,0.96875,0.0625,-13.671875,5.859375,5.859375,0,0,0
107,0.171875,0.90625,0.03125,-13.671875,1.953125,3.90625,0,0,0
108,0.1875,0.984375,-0.03125,-11.71875,1.953125,5.859375,0,0,0
109,0.203125,0.875,0.125,-13.671875,1.953125,7.8125,0,0,0
110,0.203125,0.890625,0.0625,-11.71875,3.90625,3.90625,0,0,0
111,0.265625,0.875,0,-7.8125,0,5.859375,0,0,0
112,0.21875,0.859375,0.140625,-7.8125,0,3.90625,0,0,0
113,0.1875,0.859375,0,-1.953125,0,0,0,0,0
114,0.234375,0.9375,0.15625,0,1.953125,0,0,0,0
115,0.28125,0.96875,0.1875,-1.953125,0,0,0,0,0
116,0.265625,0.9375,0.203125,0,0,0,0,0,0
117,0.265625,0.90625,0.1875,1.953125,0,0,0,0,0
118,0.25,0.921875,0.21875,3.90625,0,0,0,0,0
119,0.25,0.921875,0.09375,7.8125,-3.90625,0,0,0,0
120,0.265625,0.96875,0.1875,5.859375,0,0,0,0,0
121,0.25,0.90625,0.09375,9.765625,-3.90625,-1.953125,0,0,0
122,0.28125,0.921875,0.109375,7.8125,0,0,0,0,0
123,0.25,0.921875,0.0625,11.71875,-3.90625,-3.90625,0,0,0
124,0.265625,0.890625,0.046875,9.765625,-1.953125,-5.859375,0,0,0
125,0.234375,0.875,0.015625,11.71875,-1.953125,-3.90625,0,0,0
126,0.21875,1,-0.015625,11.71875,-1.953125,-5.859375,0,0,0
127,0.21875,0.921875,0,9.765625,0,-3.90625,0,0,0
128,0.25,1,-0.015625,7.8125,0,-1.953125,0,0,0
129,0.25,0.890625,0.015625,9.765625,0,-3.90625,0,0,0
130,0.1875,0.890625,-0.078125,7.8125,-1.953125,-1.953125,0,0,0
131,0.1875,0.90625,0,7.8125,0,-1.953125,0,0,0
132,0.171875,0.96875,-0.125,5.859375,0,-1.953125,0,0,0
133,0.203125,0.9375,-0.046875,7.8125,0,-1.953125,0,0,0
134,0.171875,0.9375,-0.0625,9.765625,0,-1.953125,0,0,0
135,0.203125,0.921875,-0.109375,7.8125,0,0,0,0,0
136,0.1875,0.921875,-0.078125,9.765625,0,0,0,0,0
137,0.171875,1,-0.15625,7.8125,0,0,0,0,0
138,0.234375,0.890625,-0.09375,9.765625,0,1.953125,0,0,0
139,0.171875,0.96875,-0.15625,7.8125,0,0,0,0,0
140,0.15625,1,-0.1875,5.859375,0,0,0,0,0
141,0.234375,0.96875,-0.25,1.953125,1.953125,0,0,0,0
142,0.1875,0.921875,-0.21875,3.90625,0,0,0,0,0
143,0.21875,0.921875,-0.234375,0,0,1.953125,0,0,0
144,0.171875,1.015625,-0.328125,0,0,1.953125,0,0,0
145,0.171875,0.921875,-0.1875,0,1.953125,1.953125,0,0,0
146,0.1875,0.9375,-0.234375,-1.953125,0,1.953125,0,0,0
147,0.1875,0.953125,-0.203125,-3.90625,1.953125,1.953125,0,0,0
148,0.21875,0.921875,-0.21875,-3.90625,0,1.953125,0,0,0
149,0.203125,1.015625,-0.1875,0,1.953125,3.90625,0,0,0
150,0.265625,1.046875,-0.234375,0,0,3.90625,0,0,0
151,0.234375,0.953125,-0.203125,-3.90625,0,0,0,0,0
152,0.265625,1.015625,-0.15625,0,0,-1.953125,0,0,0
153,0.3125,1.03125,-0.203125,0,0,-1.953125,0,0,0
154,0.25,1.015625,-0.296875,0,-1.953125,-5.859375,0,0,0
155,0.234375,1.078125,-0.171875,1.953125,0,-3.90625,0,0,0
156,0.171875,0.96875,-0.1875,3.90625,-3.90625,-5.859375,0,0,0
157,0.1875,0.96875,-0.21875,1.953125,-1.953125,-3.90625,0,0,0
158,0.125,1,-0.21875,1.953125,-1.953125,-3.90625,0,0,0
159,0.125,1.015625,-0.15625,-3.90625,0,-1.953125,0,0,0
160,0.171875,0.90625,-0.140625,-1.953125,-1.953125,0,0,0,0
161,0.171875,0.921875,-0.1875,-1.953125,-1.953125,0,0,0,0
162,0.125,0.84375,-0.09375,-3.90625,-1.953125,0,0,0,0
163,0.140625,1.015625,-0.171875,-7.8125,1.953125,0,0,0,0
164,0.078125,0.96875,-0.125,-7.8125,0,1.953125,0,0,0
165,0.09375,1.015625,-0.1875,-9.765625,0,1.953125,0,0,0
166,0.171875,0.9375,-0.078125,-9.765625,0,3.90625,0,0,0
167,0.15625,0.921875,-0.078125,-13.671875,1.953125,3.90625,0,0,0
168,0.171875,0.9375,0.015625,-13.671875,5.859375,5.859375,0,0,0
169,0.1875,0.90625,0.09375,-9.765625,1.953125,7.8125,0,0,0
170,0.203125,1.015625,0.03125,-9.765625,1.953125,7.8125,0,0,0
171,0.234375,0.90625,0.046875,-11.71875,1.953125,7.8125,0,0,0
172,0.296875,0.890625,0.046875,-7.8125,1.953125,9.765625,0,0,0
173,0.234375,0.921875,0.0625,-7.8125,1.953125,7.8125,0,0,0
174,0.234375,0.90625,0.078125,-7.8125,1.953125,5.859375,0,0,0
175,0.28125,0.90625,0.125,-7.8125,3.90625,5.859375,0,0,0
176,0.265625,0.875,0.078125,-5.859375,0,1.953125,0,0,0
177,0.328125,0.921875,0.078125,-7.8125,0,5.859375,0,0,0
178,0.34375,0.984375,0.1875,-5.859375,0,1.953125,0,0,0
179,0.265625,0.859375,0.203125,0,0,0,0,0,0
180,0.296875,0.90625,0.15625,0,0,0,0,0,0
181,0.328125,0.953125,0.265625,0,0,0,0,0,0
182,0.265625,0.921875,0.234375,5.859375,-1.953125,-1.953125,0,0,0
183,0.28125,0.875,0.15625,7.8125,-3.90625,0,0,0,0
184,0.3125,0.859375,0.15625,11.71875,-7.8125,0,0,0,0
185,0.21875,0.8125,0.03125,19.53125,-9.765625,-11.71875,0,0,0
186,0.234375,0.921875,-0.03125,13.671875,-1.953125,-5.859375,0,0,0
187,0.25,0.921875,0.0625,13.671875,-1.953125,-5.859375,0,0,0
188,0.234375,0.90625,-0.046875,11.71875,-1.953125,-3.90625,0,0,0
189,0.171875,1.015625,-0.078125,9.765625,-1.953125,-3.90625,0,0,0
190,0.203125,0.890625,-0.03125,5.859375,0,-5.859375,0,0,0
191,0.171875,1.015625,-0.125,3.90625,0,-3.90625,0,0,0
192,0.203125,0.96875,-0.0625,9.765625,0,-1.953125,0,0,0
193,0.171875,0.9375,-0.171875,9.765625,0,1.953125,0,0,0
194,0.234375,0.890625,-0.140625,7.8125,0,0,0,0,0
195,0.203125,0.90625,-0.140625,5.859375,1.953125,0,0,0,0
196,0.125,0.953125,-0.234375,3.90625,1.953125,0,0,0,0
197,0.21875,0.953125,-0.234375,1.953125,1.953125,0,0,0,0
198,0.21875,1.015625,-0.296875,0,0,3.90625,0,0,0
199,0.171875,0.984375,-0.21875,0,1.953125,3.90625,0,0,0
200,0.296875,0.9375,-0.203125,-1.953125,0,3.90625,0,0,0
201,0.28125,0.984375,-0.21875,-5.859375,0,3.90625,0,0,0
202,0.28125,0.953125,-0.1875,-1.953125,1.953125,3.90625,0,0,0
203,0.296875,1.03125,-0.25,0,0,3.90625,0,0,0
204,0.3125,0.96875,-0.15625,-1.953125,0,3.90625,0,0,0
205,0.265625,1,-0.171875,-3.90625,0,1.953125,0,0,0
206,0.296875,0.96875,-0.203125,-5.859375,0,1.953125,0,0,0
207,0.28125,1.0625,-0.109375,-1.953125,0,-1.953125,0,0,0
208,0.3125,0.96875,-0.21875,1.953125,0,-1.953125,0,0,0
209,0.296875,0.9375,-0.125,1.953125,0,-1.953125,0,0,0
210,0.28125,1.0625,-0.140625,-1.953125,0,-7.8125,0,0,0
211,0.34375,1.140625,-0.25,1.953125,0,-9.765625,0,0,0
212,0.21875,1.046875,-0.140625,5.859375,-1.953125,-9.765625,0,0,0
213,0.203125,1.015625,-0.140625,1.953125,-1.953125,-9.765625,0,0,0
214,0.203125,0.953125,-0.046875,-7.8125,0,-1.953125,0,0,0
215,0.1875,0.921875,-0.046875,-7.8125,1.953125,0,0,0,0
216,0.171875,0.921875,0,-7.8125,0,0,0,0,0
217,0.125,0.921875,0.03125,-7.8125,1.953125,1.953125,0,0,0
218,0.125,0.96875,-0.109375,-11.71875,3.90625,1.953125,0,0,0
219,0.15625,1.046875,-0.03125,-11.71875,3.90625,3.90625,0,0,0
220,0.21875,0.96875,0,-7.8125,1.953125,5.859375,0,0,0
221,0.234375,0.9375,0.0625,-7.8125,1.953125,5.859375,0,0,0
222,0.1875,0.90625,0,-7.8125,0,5.859375,0,0,0
223,0.265625,0.9375,0.15625,-11.71875,3.90625,5.859375,0,0,0
224,0.21875,0.96875,0,-11.71875,3.90625,5.859375,0,0,0
225,0.265625,0.890625,0.0625,-9.765625,1.953125,9.765625,0,0,0
226,0.265625,0.9375,0.015625,-7.8125,0,7.8125,0,0,0
227,0.28125,0.96875,0.140625,-9.765625,0,9.765625,0,0,0
228,0.296875,0.9375,0.109375,-3.90625,0,1.953125,0,0,0
229,0.296875,0.921875,0.109375,0,0,0,0,0,0
230,0.359375,0.9375,0.125,0,1.953125,0,0,0,0
231,0.34375,0.921875,0.25,-1.953125,0,1.953125,0,0,0
232,0.34375,0.90625,0.203125,0,0,1.953125,0,0,0
233,0.28125,0.921875,0.21875,1.953125,0,-1.953125,0,0,0
234,0.359375,0.90625,0.15625,0,-1.953125,0,0,0,0
235,0.3125,0.921875,0.1875,1.953125,0,-1.953125,0,0,0
236,0.3125,0.9375,0.140625,5.859375,-1.953125,-1.953125,0,0,0
237,0.265625,0.890625,0.125,9.765625,-3.90625,-5.859375,0,0,0
238,0.34375,0.96875,0.171875,3.90625,-1.953125,-1.953125,0,0,0
239,0.359375,1.046875,0.171875,1.953125,0,0,0,0,0
240,0.359375,0.953125,0.140625,1.953125,0,0,0,0,0
241,0.3125,0.921875,0.109375,1.953125,-1.953125,0,0,0,0
242,0.3125,0.984375,0.125,0,0,0,0,0,0
243,0.296875,0.984375,0.140625,0,0,0,0,0,0
244,0.296875,0.953125,0.125,0,0,0,0,0,0
245,0.328125,0.953125,0.078125,-1.953125,-1.953125,1.953125,0,0,0
246,0.328125,0.90625,0.171875,0,0,1.953125,0,0,0
247,0.296875,0.953125,0.15625,0,1.953125,0,0,0,0
248,0.3125,0.96875,0.109375,0,1.953125,0,0,0,0
249,0.328125,0.921875,0.09375,0,-3.90625,0,0,0,0
250,0.3125,0.828125,0.1875,-1.953125,0,0,0,0,0
251,0.234375,0.9375,0.171875,0,0,0,0,0,0
252,0.296875,0.921875,0.140625,0,0,0,0,0,0
253,0.234375,0.9375,0.125,0,-5.859375,0,0,0,0
254,0.28125,0.859375,0.203125,1.953125,-1.953125,-1.953125,0,0,0
255,0.328125,1.078125,0,0,-1.953125,0,0,0,0
256,0.34375,0.828125,0.234375,0,0,0,0,0,0
257,0.296875,0.921875,0.140625,1.953125,-3.90625,-1.953125,0,0,0
258,0.328125,1,0.140625,0,0,0,0,0,0
259,0.328125,0.921875,0.109375,0,0,0,0,0,0
260,0.34375,0.9375,0.15625,0,0,0,0,0,0
261,0.34375,0.953125,0.140625,0,0,0,0,0,0
262,0.328125,0.9375,0.140625,0,0,0,0,0,0
263,0.359375,0.953125,0.125,0,1.953125,0,0,0,0
264,0.328125,0.9375,0.140625,0,0,0,0,0,0
265,0.34375,0.9375,0.171875,0,0,0,0,0,0
266,0.328125,0.921875,0.171875,0,1.953125,0,0,0,0
267,0.34375,0.90625,0.140625,0,0,0,0,0,0
268,0.3125,0.890625,0.1875,0,0,0,0,0,0
269,0.34375,0.96875,0.171875,0,0,0,0,0,0
270,0.3125,0.9375,0.125,0,0,0,0,0,0
271,0.3125,0.921875,0.15625,0,0,0,0,0,0
272,0.3125,0.921875,0.109375,0,0,-1.953125,0,0,0
273,0.3125,0.921875,0.15625,1.953125,0,0,0,0,0
274,0.28125,0.921875,0.078125,3.90625,-1.953125,-1.953125,0,0,0
275,0.265625,0.875,0.078125,7.8125,-3.90625,-3.90625,0,0,0
276,0.28125,0.875,0.078125,7.8125,-3.90625,-3.90625,0,0,0
277,0.25,0.953125,0,11.71875,-3.90625,-5.859375,0,0,0
278,0.25,0.890625,0,13.671875,-3.90625,-7.8125,0,0,0
279,0.28125,0.96875,0.03125,11.71875,-1.953125,-3.90625,0,0,0
280,0.234375,0.921875,-0.0625,9.765625,-1.953125,-3.90625,0,0,0
281,0.171875,0.875,-0.0625,7.8125,-1.953125,-5.859375,0,0,0
282,0.1875,0.984375,-0.03125,5.859375,0,-3.90625,0,0,0
283,0.21875,0.96875,-0.078125,5.859375,0,-1.953125,0,0,0
284,0.21875,0.96875,-0.0625,5.859375,0,0,0,0,0
285,0.234375,0.84375,-0.078125,5.859375,0,-1.953125,0,0,0
286,0.203125,1,-0.078125,3.90625,0,0,0,0,0
287,0.171875,0.90625,-0.140625,3.90625,0,0,0,0,0
288,0.140625,0.921875,-0.078125,1.953125,1.953125,0,0,0,0
289,0.171875,1,-0.15625,0,0,0,0,0,0
290,0.203125,0.921875,-0.09375,0,0,0,0,0,0
291,0.171875,1.0625,-0.109375,0,1.953125,1.953125,0,0,0
292,0.21875,0.9375,-0.046875,0,1.953125,1.953125,0,0,0
293,0.21875,1.03125,-0.140625,0,1.953125,1.953125,0,0,0
294,0.21875,1,-0.109375,0,1.953125,1.953125,0,0,0
295,0.1875,1.015625,-0.140625,0,0,0,0,0,0
296,0.234375,1.015625,-0.125,-3.90625,1.953125,0,0,0,0
297,0.21875,1.046875,-0.171875,-1.953125,1.953125,1.953125,0,0,0
298,0.203125,0.984375,-0.109375,-1.953125,0,1.953125,0,0,0
299,0.203125,1.078125,-0.171875,-5.859375,1.953125,0,0,0,0
300,0.1875,1,-0.0625,-3.90625,1.953125,0,0,0,0
301,0.21875,1.015625,-0.125,-3.90625,1.953125,0,0,0,0
302,0.234375,1.046875,-0.15625,-3.90625,0,1.953125,0,0,0
303,0.234375,0.953125,-0.03125,-1.953125,0,1.953125,0,0,0
304,0.234375,0.953125,-0.078125,0,0,-1.953125,0,0,0
305,0.203125,0.921875,-0.03125,-1.953125,0,-1.953125,0,0,0
306,0.203125,0.984375,-0.078125,0,0,0,0,0,0
307,0.21875,0.984375,-0.0625,0,0,0,0,0,0
308,0.21875,1.015625,-0.078125,1.953125,0,0,0,0,0
309,0.234375,1.046875,-0.09375,1.953125,0,0,0,0,0
310,0.21875,1.109375,-0.0625,3.90625,1.953125,-3.90625,0,0,0
311,0.234375,1.171875,-0.140625,3.90625,0,-5.859375,0,0,0
312,0.1875,0.921875,-0.046875,7.8125,-1.953125,-3.90625,0,0,0
313,0.109375,0.921875,-0.046875,1.953125,0,-5.859375,0,0,0
314,0.140625,1,-0.125,0,0,-1.953125,0,0,0
315,0.125,0.96875,-0.109375,0,-1.953125,0,0,0,0
316,0.125,1.046875,-0.15625,-1.953125,0,0,0,0,0
317,0.125,1.046875,-0.171875,-5.859375,0,0,0,0,0
318,0.15625,0.96875,-0.0625,-7.8125,0,0,0,0,0
319,0.15625,0.921875,0,-9.765625,5.859375,3.90625,0,0,0
320,0.21875,0.875,-0.03125,-5.859375,0,5.859375,0,0,0
321,0.21875,0.84375,0,-5.859375,0,7.8125,0,0,0
322,0.265625,1.0625,0.03125,-9.765625,1.953125,5.859375,0,0,0
323,0.265625,0.953125,0.046875,-9.765625,5.859375,3.90625,0,0,0
324,0.1875,1,0,-7.8125,3.90625,3.90625,0,0,0
325,0.234375,0.90625,-0.015625,-7.8125,0,7.8125,0,0,0
326,0.28125,0.875,0.046875,-5.859375,1.953125,1.953125,0,0,0
327,0.25,0.90625,0.109375,-5.859375,1.953125,3.90625,0,0,0
328,0.25,0.875,0.078125,-3.90625,0,3.90625,0,0,0
329,0.25,0.984375,0.15625,-5.859375,0,3.90625,0,0,0
330,0.28125,1,0.125,-5.859375,0,3.90625,0,0,0
331,0.28125,0.9375,0.140625,-7.8125,0,3.90625,0,0,0
332,0.3125,0.90625,0.171875,-9.765625,0,5.859375,0,0,0
333,0.28125,0.921875,0.1875,-5.859375,1.953125,1.953125,0,0,0
334,0.3125,0.875,0.203125,-3.90625,1.953125,3.90625,0,0,0
335,0.328125,0.828125,0.21875,0,0,0,0,0,0
336,0.375,0.875,0.25,1.953125,0,-1.953125,0,0,0
337,0.390625,0.921875,0.234375,1.953125,0,-1.953125,0,0,0
338,0.390625,0.9375,0.28125,1.953125,0,0,0,0,0
339,0.359375,0.90625,0.25,0,0,0,0,0,0
340,0.34375,0.921875,0.21875,3.90625,0,0,0,0,0
341,0.34375,0.875,0.234375,1.953125,0,0,0,0,0
342,0.375,0.9375,0.234375,0,0,0,0,0,0
343,0.34375,0.890625,0.21875,0,0,0,0,0,0
344,0.359375,0.90625,0.203125,0,0,0,0,0,0
345,0.34375,0.921875,0.1875,1.953125,-1.953125,-1.953125,0,0,0
346,0.34375,0.890625,0.1875,3.90625,-1.953125,-1.953125,0,0,0
347,0.3125,0.875,0.15625,7.8125,-1.953125,-5.859375,0,0,0
348,0.296875,0.796875,0.140625,13.671875,-9.765625,-9.765625,0,0,0
349,0.296875,0.78125,0.140625,13.671875,-3.90625,-9.765625,0,0,0
350,0.1875,1.0625,0.03125,13.671875,-7.8125,-11.71875,0,0,0
351,0.1875,1.0625,0.03125,11.71875,-7.8125,-5.859375,0,0,0
352,0.265625,0.890625,0.0625,9.765625,-1.953125,-5.859375,0,0,0
353,0.203125,1,0.046875,7.8125,-1.953125,-7.8125,0,0,0
354,0.28125,1,0,7.8125,0,-1.953125,0,0,0
355,0.21875,0.9375,-0.03125,5.859375,-1.953125,-3.90625,0,0,0
356,0.25,0.875,0.03125,5.859375,0,-3.90625,0,0,0
357,0.203125,0.96875,-0.015625,5.859375,0,-5.859375,0,0,0
358,0.234375,0.875,-0.046875,7.8125,-1.953125,-1.953125,0,0,0
359,0.171875,0.984375,0.015625,5.859375,0,-1.953125,0,0,0
360,0.203125,0.984375,-0.0625,5.859375,0,0,0,0,0
361,0.21875,0.96875,-0.046875,7.8125,0,0,0,0,0
362,0.171875,0.953125,-0.0625,7.8125,-1.953125,0,0,0,0
363,0.1875,0.953125,-0.09375,5.859375,0,0,0,0,0
364,0.234375,1.015625,-0.140625,5.859375,0,1.953125,0,0,0
365,0.1875,0.921875,-0.015625,3.90625,0,0,0,0,0
366,0.1875,0.90625,-0.140625,3.90625,0,0,0,0,0
367,0.140625,0.984375,-0.0625,1.953125,1.953125,0,0,0,0
368,0.234375,1.015625,-0.09375,0,1.953125,1.953125,0,0,0
369,0.234375,1.03125,-0.09375,-1.953125,3.90625,1.953125,0,0,0
370,0.234375,1,-0.140625,0,1.953125,1.953125,0,0,0
371,0.25,0.9375,-0.109375,0,0,1.953125,0,0,0
372,0.265625,1,-0.15625,0,0,3.90625,0,0,0
373,0.28125,0.984375,-0.125,0,1.953125,1.953125,0,0,0
374,0.25,0.953125,-0.109375,0,0,3.90625,0,0,0
375,0.265625,1.015625,-0.15625,-3.90625,0,1.953125,0,0,0
376,0.3125,0.984375,-0.078125,-3.90625,0,1.953125,0,0,0
377,0.28125,1.09375,-0.09375,-1.953125,0,0,0,0,0
378,0.28125,1,-0.078125,0,0,-1.953125,0,0,0
379,0.28125,0.90625,-0.078125,0,0,0,0,0,0
380,0.234375,0.90625,-0.03125,-3.90625,0,0,0,0,0
381,0.234375,0.984375,-0.0625,-1.953125,0,-1.953125,0,0,0
382,0.265625,1.125,-0.09375,3.90625,0,-5.859375,0,0,0
383,0.234375,1.125,-0.125,3.90625,0,-5.859375,0,0,0
384,0.1875,1.109375,-0.125,3.90625,0,-9.765625,0,0,0
385,0.203125,0.984375,-0.0625,3.90625,0,-7.8125,0,0,0
386,0.171875,0.96875,-0.109375,0,0,-3.90625,0,0,0
387,0.171875,0.984375,-0.09375,0,1.953125,-3.90625,0,0,0
388,0.171875,1.015625,-0.171875,-1.953125,0,-3.90625,0,0,0
389,0.171875,0.953125,-0.046875,-1.953125,0,-1.953125,0,0,0
