motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
Cross Right - 10 Reps,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
76,0.10362,-1.01809,-0.21064,-42.28,-30.39875,69.8475,0,0,0
77,0.05242,-1.67089,0.1276,-9.08,-2.59875,-5.2725,0,0,0
78,-0.09414,-1.06417,0.36184,59.76,11.00125,-22.1925,0,0,0
79,-0.40454,0.02095,0.62936,122.28,22.48125,-27.5525,0,0,0
80,-0.4583,-0.16849,0.75224,60.16,3.72125,-1.2725,0,0,0
81,-0.4567,-0.28721,0.75832,37.64,-7.23875,12.9675,0,0,0
82,-0.52998,-0.40049,0.81784,50.92,-23.47875,32.0875,0,0,0
83,-0.57318,-0.25457,0.79096,96.76,-40.47875,42.4075,0,0,0
84,-0.44518,-0.03825,0.81432,135.96,-54.87875,46.7675,0,0,0
85,-0.46854,0.13327,0.83256,145.92,-58.63875,50.8875,0,0,0
86,-0.49286,0.07087,0.67416,152.76,-68.63875,54.4475,0,0,0
87,-0.29318,0.12975,0.55544,175.8,-78.15875,57.6875,0,0,0
88,-0.18758,0.21583,0.5244,192.56,-79.15875,58.8075,0,0,0
89,-0.07974,0.37775,0.38456,215.08,-75.75875,59.7275,0,0,0
90,0.00634,0.36719,0.29368,223.4,-74.47875,59.3675,0,0,0
91,0.23418,0.56687,0.1788,228.92,-76.07875,56.9675,0,0,0
92,0.34458,0.68015,0.2028,223.24,-76.27875,56.5675,0,0,0
93,0.3305,0.61903,0.10936,188.88,-72.51875,55.2075,0,0,0
94,0.3945,0.54927,0.01144,146.64,-74.75875,54.4075,0,0,0
95,0.49882,0.49903,-0.0596,132.48,-77.23875,51.6075,0,0,0
96,0.72666,0.40367,-0.05992,116.92,-77.75875,42.6875,0,0,0
97,0.72026,0.30831,-0.0308,112.24,-71.51875,30.7675,0,0,0
98,0.71546,0.41423,-0.1268,103.44,-69.91875,23.8875,0,0,0
99,0.7721,0.36303,-0.146,93.96,-72.03875,22.1675,0,0,0
100,0.87098,0.41967,-0.12104,64.4,-78.71875,18.4875,0,0,0
101,0.88282,0.29967,0.04088,35.68,-83.23875,8.9675,0,0,0
102,0.92474,0.17135,-0.00968,22.36,-85.43875,7.8475,0,0,0
103,0.91354,0.20911,-0.07144,0.8,-89.31875,12.8075,0,0,0
104,0.92058,0.12303,-0.0788,-12.76,-89.91875,7.4475,0,0,0
105,0.93402,0.11727,-0.0772,-14.44,-86.35875,0.5275,0,0,0
106,0.93978,0.09871,0.00888,-24.52,-75.83875,-8.1125,0,0,0
107,2.02938,0.18031,-0.01544,-37,-60.39875,-13.4725,0,0,0
108,0.84314,0.03663,-0.04232,-25.64,-52.31875,-18.9925,0,0,0
109,0.8185,0.11439,-0.03944,-13.2,-47.95875,-24.7125,0,0,0
110,0.77978,0.31663,-0.00552,1.04,-40.43875,-31.4725,0,0,0
111,0.73786,0.40911,-0.0004,-7.6,-31.91875,-27.4325,0,0,0
112,0.70298,0.37935,-0.02728,-13.24,-27.71875,-23.0725,0,0,0
113,0.6505,0.37775,-0.0964,-9.24,-19.95875,-15.6325,0,0,0
114,0.58682,0.45487,-0.09288,7.48,-14.87875,-10.7925,0,0,0
115,0.56186,0.49903,-0.13512,11.44,-14.03875,-8.7525,0,0,0
116,0.54234,0.47375,-0.0612,7.68,-15.51875,-4.2725,0,0,0
117,0.5049,0.42767,-0.10344,2,-17.23875,2.0875,0,0,0
118,0.51386,0.37039,-0.12488,7.64,-18.83875,3.8875,0,0,0
119,0.5353,0.37135,-0.09384,15.56,-18.27875,2.7275,0,0,0
120,0.54458,0.47311,-0.00744,26.56,-13.43875,0.6875,0,0,0
121,0.53498,0.56207,0.01464,14.56,-5.59875,1.1675,0,0,0
122,0.53402,0.51375,0.02328,2.4,-1.87875,1.7675,0,0,0
123,0.5257,0.43823,-0.03432,-15.28,3.08125,3.0075,0,0,0
124,0.5241,0.40719,-0.05896,-17.44,5.04125,1.7675,0,0,0
125,0.50234,0.39631,-0.09992,-8.32,5.40125,-1.9925,0,0,0
126,0.4889,0.42607,-0.10408,-2.76,5.16125,-3.5525,0,0,0
127,0.48282,0.46479,-0.13192,2.52,5.16125,-5.3925,0,0,0
128,0.47386,0.46959,-0.05672,-2.28,6.60125,-4.6325,0,0,0
129,0.46042,0.43855,-0.05064,-6.92,7.40125,-3.5125,0,0,0
130,0.46202,0.38735,-0.08776,-12.4,7.96125,-0.6325,0,0,0
131,0.48922,0.34671,-0.08104,-5.12,7.64125,-0.4325,0,0,0
132,0.48506,0.39599,-0.07528,1.44,7.12125,-0.8325,0,0,0
133,0.47322,0.47791,-0.05448,5.24,4.72125,-1.7925,0,0,0
134,0.46426,0.43791,-0.0836,-4.64,2.44125,-0.3525,0,0,0
135,0.47258,0.41487,-0.09192,-9,1.16125,1.2875,0,0,0
136,0.46426,0.40207,-0.07304,-6.28,0.28125,1.2475,0,0,0
137,0.46042,0.47055,-0.06088,2.44,-2.99875,0.2875,0,0,0
138,0.47866,0.47951,-0.0628,4.04,-5.19875,-1.8325,0,0,0
139,0.48922,0.47311,-0.05544,2.84,-5.03875,-2.7125,0,0,0
140,0.49626,0.44399,-0.06536,0.72,-1.83875,-4.0325,0,0,0
141,0.48858,0.42383,-0.04648,2,2.56125,-4.8325,0,0,0
142,0.50042,0.43567,-0.03016,3.8,4.84125,-4.9925,0,0,0
143,0.48826,0.48271,-0.04584,5.52,9.32125,-4.8325,0,0,0
144,0.50778,0.42863,-0.02568,-3.4,13.44125,-2.3125,0,0,0
145,0.5161,0.43759,0.00856,-4.16,14.00125,-1.8325,0,0,0
146,0.54522,0.42383,0.02072,-8.84,14.84125,-0.8325,0,0,0
147,0.58266,0.38671,0.01304,-15.48,16.68125,0.5675,0,0,0
148,0.62042,0.36783,-0.01384,-17.96,18.08125,0.9675,0,0,0
149,0.76154,0.30991,-0.05352,-18.68,23.48125,0.8475,0,0,0
150,1.02554,0.29967,-0.01672,-10.32,35.32125,-0.4725,0,0,0
151,1.16858,0.32367,0.00408,-6.84,45.24125,-0.0325,0,0,0
152,1.50298,0.36303,-0.00232,-12.56,71.32125,5.1675,0,0,0
