motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
jjbhbhb,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
106,-0.015625,0.15625,1,0,0,0,0,0,0
107,-0.015625,0.125,0.96875,0,0,0,0,0,0
108,-0.03125,0.15625,1,0,0,0,0,0,0
109,-0.03125,0.140625,0.984375,0,0,0,0,0,0
110,-0.03125,0.15625,0.984375,0,0,0,0,0,0
111,-0.03125,0.15625,0.984375,0,0,0,0,0,0
112,-0.015625,0.140625,1,0,0,0,0,0,0
113,-0.015625,0.140625,0.984375,0,0,0,0,0,0
114,-0.015625,0.15625,1,0,0,0,0,0,0
115,-0.015625,0.140625,1,0,0,0,0,0,0
116,-0.046875,0.171875,0.984375,0,0,0,0,0,0
117,-0.03125,0.140625,1,0,0,0,0,0,0
118,-0.015625,0.15625,1,0,0,0,0,0,0
119,-0.015625,0.15625,1,1.953125,0,0,0,0,0
120,-0.015625,0.140625,0.984375,1.953125,0,0,0,0,0
121,-0.015625,0.140625,1,0,0,0,0,0,0
122,-0.03125,0.15625,0.984375,0,0,0,0,0,0
123,-0.015625,0.140625,0.96875,0,0,0,0,0,0
124,-0.015625,0.140625,0.96875,-1.953125,0,0,0,0,0
125,-0.015625,0.140625,1.03125,0,0,0,0,0,0
126,-0.03125,0.15625,0.984375,0,0,0,0,0,0
127,-0.03125,0.15625,1,0,0,0,0,0,0
128,-0.015625,0.140625,1.015625,0,0,0,0,0,0
129,-0.015625,0.140625,1,0,0,0,0,0,0
130,-0.015625,0.140625,1,0,0,0,0,0,0
131,-0.015625,0.140625,1,0,0,0,0,0,0
132,-0.03125,0.15625,0.984375,0,0,0,0,0,0
133,-0.03125,0.140625,1,0,0,0,0,0,0
134,-0.03125,0.140625,1,0,0,0,0,0,0
135,-0.03125,0.140625,0.96875,0,0,0,0,0,0
136,-0.015625,0.15625,1.03125,0,0,0,0,0,0
137,-0.015625,0.140625,0.984375,0,0,0,0,0,0
138,-0.03125,0.15625,0.984375,0,0,0,0,0,0
139,-0.015625,0.15625,1,0,0,0,0,0,0
140,-0.03125,0.140625,0.984375,0,0,0,0,0,0
141,-0.03125,0.15625,1,0,0,0,0,0,0
142,-0.03125,0.140625,0.984375,0,0,0,0,0,0
143,-0.015625,0.140625,1,0,0,0,0,0,0
144,-0.03125,0.15625,0.96875,0,0,0,0,0,0
145,-0.03125,0.140625,1,0,0,0,0,0,0
146,-0.015625,0.15625,1.015625,0,0,0,0,0,0
147,-0.03125,0.15625,0.984375,0,0,0,0,0,0
148,-0.015625,0.15625,1.015625,0,0,0,0,0,0
149,-0.015625,0.15625,1,0,0,0,0,0,0
150,-0.015625,0.15625,1,0,0,0,0,0,0
151,-0.015625,0.140625,1.015625,0,0,0,0,0,0
152,-0.015625,0.140625,1,0,0,0,0,0,0
153,-0.046875,0.15625,0.96875,0,0,0,0,0,0
154,-0.046875,0.15625,0.953125,0,0,0,0,0,0
155,-0.015625,0.140625,1.015625,0,1.953125,0,0,0,0
156,-0.03125,0.15625,1,0,0,0,0,0,0
157,-0.03125,0.15625,1,0,1.953125,0,0,0,0
158,-0.015625,0.140625,1.015625,0,0,0,0,0,0
159,-0.03125,0.171875,0.984375,0,0,0,0,0,0
160,-0.046875,0.15625,0.96875,0,0,0,0,0,0
161,-0.03125,0.140625,1.015625,0,0,0,0,0,0
162,-0.046875,0.15625,0.984375,0,0,0,0,0,0
