motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
benchpress_ethan_2,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
0,-0.3125,1.015625,0.03125,-15.625,1.953125,-1.953125,,,
1,-0.34375,1.015625,0.1875,-15.625,-11.71875,3.90625,,,
2,-0.28125,1.015625,0.203125,-1.953125,-7.8125,7.8125,,,
3,-0.296875,1.046875,0.234375,1.953125,-5.859375,15.625,,,
4,-0.078125,0.984375,0.234375,15.625,-11.71875,17.578125,,,
5,-0.046875,0.984375,0.1875,13.671875,-9.765625,17.578125,,,
6,-0.09375,0.96875,0.203125,9.765625,-9.765625,19.53125,,,
7,-0.140625,0.90625,0.0625,7.8125,-11.71875,17.578125,,,
8,-0.15625,0.875,0.171875,-1.953125,-19.53125,17.578125,,,
9,-0.1875,0.828125,-0.015625,-7.8125,-9.765625,23.4375,,,
10,-0.1875,0.765625,0.140625,-25.390625,-15.625,29.296875,,,
11,-0.109375,0.765625,0.046875,-29.296875,-23.4375,31.25,,,
12,-0.015625,0.734375,0.15625,-25.390625,-35.15625,41.015625,,,
13,0,0.71875,0.109375,-19.53125,-27.34375,27.34375,,,
14,-0.046875,0.75,0.09375,-19.53125,-29.296875,13.671875,,,
15,-0.28125,0.890625,0.28125,-9.765625,-21.484375,-15.625,,,
16,-0.328125,0.859375,0.296875,-7.8125,-13.671875,-19.53125,,,
17,-0.265625,0.8125,0.34375,3.90625,-5.859375,-9.765625,,,
18,-0.34375,0.765625,0.421875,0,1.953125,-17.578125,,,
19,-0.296875,0.78125,0.421875,9.765625,25.390625,-7.8125,,,
20,-0.359375,0.765625,0.328125,11.71875,44.921875,-11.71875,,,
21,-0.265625,0.796875,0.390625,17.578125,41.015625,0,,,
22,-0.1875,0.78125,0.34375,11.71875,70.3125,3.90625,,,
23,-0.25,0.78125,0.203125,27.34375,52.734375,9.765625,,,
24,-0.15625,0.8125,0.109375,25.390625,62.5,7.8125,,,
25,0.09375,0.90625,-0.015625,17.578125,11.71875,0,,,
26,0,0.875,0.0625,21.484375,3.90625,-7.8125,,,
27,0.03125,0.9375,-0.015625,19.53125,7.8125,-9.765625,,,
28,-0.015625,0.890625,0.046875,13.671875,0,-15.625,,,
29,0,0.9375,-0.125,7.8125,1.953125,-21.484375,,,
30,-0.046875,0.859375,0,3.90625,-3.90625,-23.4375,,,
31,-0.015625,0.953125,-0.0625,0,-1.953125,-19.53125,,,
32,-0.0625,0.984375,0,0,-9.765625,-25.390625,,,
33,-0.125,1.015625,0,-11.71875,-15.625,-21.484375,,,
34,-0.203125,1.0625,0.015625,-23.4375,-15.625,-29.296875,,,
35,-0.21875,1.03125,0,-31.25,-15.625,-29.296875,,,
36,-0.40625,1,0.140625,-11.71875,-35.15625,-3.90625,,,
37,-0.46875,0.984375,0.15625,-5.859375,-33.203125,0,,,
38,-0.453125,1.015625,0.25,-1.953125,-19.53125,0,,,
39,-0.484375,1.09375,0.265625,-3.90625,-7.8125,1.953125,,,
40,-0.4375,1.265625,0.34375,-1.953125,-1.953125,3.90625,,,
41,-0.4375,1.328125,0.375,3.90625,-5.859375,1.953125,,,
42,-0.453125,1.3125,0.203125,19.53125,-3.90625,-1.953125,,,
43,-0.421875,1.234375,0.15625,25.390625,0,-1.953125,,,
44,-0.4375,1.171875,0.140625,31.25,9.765625,-3.90625,,,
45,-0.34375,1.171875,0.109375,35.15625,19.53125,1.953125,,,
46,-0.28125,1.015625,0.15625,-9.765625,-1.953125,46.875,,,
47,-0.3125,0.953125,-0.03125,-15.625,-13.671875,42.96875,,,
48,-0.140625,0.921875,0.109375,-17.578125,-5.859375,46.875,,,
49,-0.171875,0.8125,0.046875,-27.34375,1.953125,46.875,,,
50,-0.0625,0.796875,0.109375,-23.4375,7.8125,41.015625,,,
51,-0.046875,0.734375,0.109375,-31.25,9.765625,41.015625,,,
52,0,0.734375,0.125,-29.296875,0,41.015625,,,
53,-0.046875,0.71875,0.046875,-44.921875,-5.859375,46.875,,,
54,0.09375,0.671875,0.078125,-39.0625,-5.859375,52.734375,,,
55,-0.015625,0.640625,0.15625,-41.015625,-11.71875,44.921875,,,
56,0.0625,0.734375,0.015625,-27.34375,-9.765625,35.15625,,,
57,0,0.859375,0.265625,-13.671875,-13.671875,-7.8125,,,
58,-0.046875,0.890625,0.296875,-7.8125,-15.625,-7.8125,,,
59,0,0.90625,0.421875,-11.71875,-15.625,-1.953125,,,
60,-0.046875,0.90625,0.40625,-1.953125,-15.625,0,,,
61,-0.015625,0.890625,0.46875,-1.953125,-15.625,-3.90625,,,
62,0,0.796875,0.375,9.765625,-9.765625,-13.671875,,,
63,-0.03125,0.78125,0.375,15.625,1.953125,-33.203125,,,
64,0.015625,0.796875,0.359375,25.390625,1.953125,-33.203125,,,
65,0,0.75,0.3125,33.203125,35.15625,-48.828125,,,
66,-0.046875,0.8125,0.390625,31.25,25.390625,-48.828125,,,
67,-0.203125,0.84375,0.171875,39.0625,42.96875,-33.203125,,,
68,-0.21875,0.90625,-0.015625,31.25,31.25,-35.15625,,,
69,-0.21875,0.90625,-0.015625,31.25,25.390625,-35.15625,,,
70,-0.203125,0.890625,0,19.53125,27.34375,-35.15625,,,
71,-0.25,0.90625,0.015625,7.8125,15.625,-35.15625,,,
72,-0.140625,0.96875,-0.125,0,19.53125,-35.15625,,,
73,-0.21875,0.953125,0,-5.859375,7.8125,-33.203125,,,
74,-0.265625,0.96875,-0.125,-7.8125,7.8125,-29.296875,,,
75,-0.3125,1,0.046875,-9.765625,-1.953125,-23.4375,,,
76,-0.40625,0.96875,-0.203125,-5.859375,1.953125,-19.53125,,,
77,-0.421875,0.96875,0,-9.765625,-3.90625,-13.671875,,,
78,-0.46875,1.125,0.109375,-7.8125,-15.625,-7.8125,,,
79,-0.515625,1.125,0.171875,-3.90625,-19.53125,-5.859375,,,
80,-0.5625,1.1875,0.078125,7.8125,-37.109375,-1.953125,,,
81,-0.609375,1.25,0.15625,17.578125,-31.25,0,,,
82,-0.640625,1.234375,0.046875,25.390625,-29.296875,1.953125,,,
83,-0.640625,1.15625,0.125,29.296875,-17.578125,3.90625,,,
84,-0.578125,1.140625,0.046875,29.296875,-13.671875,11.71875,,,
